learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (-2.31296e-18, 174)  (-2.31296e-18, 148)  (-2.31296e-18, 179)  (-2.31296e-18, 174)  (-2.31296e-18, 175)  (-2.31296e-18, 176)  (-2.31296e-18, 177)  (-2.31296e-18, 175)  (-2.31296e-18, 149)  (-2.31296e-18, 134)  (-2.31296e-18, 134)  
CFR_EX+IN  (-2.31296e-18, 77)  (-2.31296e-18, 77)  (-2.31296e-18, 92)  (-2.31296e-18, 90)  (-2.31296e-18, 90)  (-2.31296e-18, 90)  (-2.31296e-18, 91)  (-2.31296e-18, 89)  (-2.31296e-18, 78)  (-2.31296e-18, 59)  (-2.31296e-18, 59)  
CFR_IN  (-2.31296e-18, 77)  (-2.31296e-18, 77)  (-2.31296e-18, 90)  (-2.31296e-18, 89)  (-2.31296e-18, 91)  (-2.31296e-18, 90)  (-2.31296e-18, 91)  (-2.31296e-18, 90)  (-2.31296e-18, 78)  (-2.31296e-18, 59)  (-2.31296e-18, 58)  
A-EFR_IN  (-2.31296e-18, 77)  (-2.31296e-18, 77)  (-2.31296e-18, 91)  (-2.31296e-18, 89)  (-2.31296e-18, 90)  (-2.31296e-18, 90)  (-2.31296e-18, 89)  (-2.31296e-18, 89)  (-2.31296e-18, 78)  (-2.31296e-18, 58)  (-2.31296e-18, 58)  
BPS-EFR  (-2.31296e-18, 77)  (-2.31296e-18, 76)  (-2.31296e-18, 90)  (-2.31296e-18, 89)  (-2.31296e-18, 90)  (-2.31296e-18, 90)  (-2.31296e-18, 89)  (-2.31296e-18, 88)  (-2.31296e-18, 77)  (-2.31296e-18, 58)  (-2.31296e-18, 58)  
TIPS-EFR  (-2.31296e-18, 77)  (-2.31296e-18, 77)  (-2.31296e-18, 90)  (-2.31296e-18, 89)  (-2.31296e-18, 91)  (-2.31296e-18, 90)  (-2.31296e-18, 91)  (-2.31296e-18, 90)  (-2.31296e-18, 78)  (-2.31296e-18, 58)  (-2.31296e-18, 58)  
CSPS-EFR  (-2.31296e-18, 77)  (-2.31296e-18, 77)  (-2.31296e-18, 92)  (-2.31296e-18, 88)  (-2.31296e-18, 90)  (-2.31296e-18, 89)  (-2.31296e-18, 91)  (-2.31296e-18, 91)  (-2.31296e-18, 78)  (-2.31296e-18, 59)  (-2.31296e-18, 59)  
CFPS-EFR  (-2.31296e-18, 77)  (-2.31296e-18, 77)  (-2.31296e-18, 91)  (-2.31296e-18, 89)  (-2.31296e-18, 90)  (-2.31296e-18, 90)  (-2.31296e-18, 89)  (-2.31296e-18, 90)  (-2.31296e-18, 78)  (-2.31296e-18, 58)  (-2.31296e-18, 58)  
CFPS-EFR_EX+IN  (-2.31296e-18, 77)  (-2.31296e-18, 78)  (-2.31296e-18, 91)  (-2.31296e-18, 88)  (-2.31296e-18, 91)  (-2.31296e-18, 89)  (-2.31296e-18, 90)  (-2.31296e-18, 90)  (-2.31296e-18, 78)  (-2.31296e-18, 58)  (-2.31296e-18, 59)  
TIPS-EFR_EX+IN  (-2.31296e-18, 77)  (-2.31296e-18, 78)  (-2.31296e-18, 90)  (-2.31296e-18, 88)  (-2.31296e-18, 90)  (-2.31296e-18, 90)  (-2.31296e-18, 92)  (-2.31296e-18, 90)  (-2.31296e-18, 79)  (-2.31296e-18, 59)  (-2.31296e-18, 59)  
BEHAV-EFR  (-2.31296e-18, 77)  (-2.31296e-18, 77)  (-2.31296e-18, 92)  (-2.31296e-18, 90)  (-2.31296e-18, 90)  (-2.31296e-18, 90)  (-2.31296e-18, 90)  (-2.31296e-18, 91)  (-2.31296e-18, 78)  (-2.31296e-18, 58)  (-2.31296e-18, 58)  
