learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (-2.31296e-18, 142)  (-2.31296e-18, 72)  (-2.31296e-18, 75)  (-2.31296e-18, 74)  (-2.31296e-18, 75)  (-2.31296e-18, 76)  (-2.31296e-18, 75)  (-2.31296e-18, 75)  (-2.31296e-18, 76)  (-2.31296e-18, 77)  (-2.31296e-18, 90)  
CFR_EX+IN  (-2.31296e-18, 142)  (-2.31296e-18, 130)  (-2.31296e-18, 91)  (-2.31296e-18, 91)  (-2.31296e-18, 91)  (-2.31296e-18, 90)  (-2.31296e-18, 91)  (-2.31296e-18, 89)  (-2.31296e-18, 93)  (-2.31296e-18, 93)  (-2.31296e-18, 91)  
CFR_IN  (-2.31296e-18, 142)  (-2.31296e-18, 174)  (-2.31296e-18, 131.5)  (-2.31296e-18, 90)  (-2.31296e-18, 89)  (-2.31296e-18, 91)  (-2.31296e-18, 89)  (-2.31296e-18, 88)  (-2.31296e-18, 86)  (-2.31296e-18, 88)  (-2.31296e-18, 90)  
A-EFR_IN  (-2.31296e-18, 142)  (-2.31296e-18, 174)  (-2.31296e-18, 176)  (-2.31296e-18, 128)  (-2.31296e-18, 87)  (-2.31296e-18, 88)  (-2.31296e-18, 89)  (-2.31296e-18, 87)  (-2.31296e-18, 88)  (-2.31296e-18, 88)  (-2.31296e-18, 87)  
BPS-EFR  (-2.31296e-18, 142)  (-2.31296e-18, 172)  (-2.31296e-18, 169)  (-2.31296e-18, 170)  (-2.31296e-18, 127)  (-2.31296e-18, 86)  (-2.31296e-18, 89)  (-2.31296e-18, 88)  (-2.31296e-18, 86)  (-2.31296e-18, 86)  (-2.31296e-18, 88)  
TIPS-EFR  (-2.31296e-18, 142)  (-2.31296e-18, 171)  (-2.31296e-18, 171)  (-2.31296e-18, 168)  (-2.31296e-18, 167)  (-2.31296e-18, 127)  (-2.31296e-18, 88)  (-2.31296e-18, 88)  (-2.31296e-18, 88)  (-2.31296e-18, 88)  (-2.31296e-18, 87)  
CSPS-EFR  (-2.31296e-18, 142)  (-2.31296e-18, 175)  (-2.31296e-18, 169)  (-2.31296e-18, 169)  (-2.31296e-18, 170)  (-2.31296e-18, 169)  (-2.31296e-18, 128)  (-2.31296e-18, 87)  (-2.31296e-18, 89)  (-2.31296e-18, 91)  (-2.31296e-18, 88)  
CFPS-EFR  (-2.31296e-18, 143)  (-2.31296e-18, 169)  (-2.31296e-18, 168)  (-2.31296e-18, 170)  (-2.31296e-18, 168)  (-2.31296e-18, 168)  (-2.31296e-18, 169)  (-2.31296e-18, 129)  (-2.31296e-18, 86)  (-2.31296e-18, 88)  (-2.31296e-18, 91)  
CFPS-EFR_EX+IN  (-2.31296e-18, 143)  (-2.31296e-18, 174)  (-2.31296e-18, 170)  (-2.31296e-18, 169)  (-2.31296e-18, 168)  (-2.31296e-18, 169)  (-2.31296e-18, 169)  (-2.31296e-18, 169)  (-2.31296e-18, 127.5)  (-2.31296e-18, 89)  (-2.31296e-18, 88)  
TIPS-EFR_EX+IN  (-2.31296e-18, 144)  (-2.31296e-18, 172)  (-2.31296e-18, 167)  (-2.31296e-18, 169)  (-2.31296e-18, 167)  (-2.31296e-18, 166)  (-2.31296e-18, 169)  (-2.31296e-18, 170)  (-2.31296e-18, 167)  (-2.31296e-18, 127)  (-2.31296e-18, 89)  
BEHAV-EFR  (-2.31296e-18, 173)  (-2.31296e-18, 174)  (-2.31296e-18, 169)  (-2.31296e-18, 170)  (-2.31296e-18, 169)  (-2.31296e-18, 167)  (-2.31296e-18, 169)  (-2.31296e-18, 170)  (-2.31296e-18, 168)  (-2.31296e-18, 169)  (-2.31296e-18, 127)  
t = 1
CFR  (0, 1.5)  (0.0121593, 3)  (0.0810811, 15)  (0.0810811, 13)  (0, 2)  (0.0810811, 15)  (0.0810811, 21)  (0.0810811, 14)  (0.0121593, 4)  (0.0121593, 6)  (0.0810811, 25)  
CFR_EX+IN  (-0.0117649, 2)  (0, 6)  (0.0670391, 21)  (0.0670391, 20)  (-0.0117649, 3)  (0.0670391, 24)  (0.0670391, 31)  (0.0670391, 20)  (-2.31296e-18, 7)  (-4.62593e-18, 9)  (0.0670391, 25)  
