learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (2.31296e-18, 172)  (2.31296e-18, 148)  (2.31296e-18, 146)  (2.31296e-18, 179)  (2.31296e-18, 176)  (2.31296e-18, 180)  (2.31296e-18, 173)  (2.31296e-18, 175)  (2.31296e-18, 178)  (2.31296e-18, 176)  (2.31296e-18, 178)  
CFR_EX+IN  (2.31296e-18, 78)  (2.31296e-18, 76)  (2.31296e-18, 78)  (2.31296e-18, 93)  (2.31296e-18, 91)  (2.31296e-18, 94)  (2.31296e-18, 89)  (2.31296e-18, 91)  (2.31296e-18, 92)  (2.31296e-18, 92)  (2.31296e-18, 92)  
CFR_IN  (2.31296e-18, 77)  (2.31296e-18, 76)  (2.31296e-18, 77)  (2.31296e-18, 91)  (2.31296e-18, 91)  (2.31296e-18, 95)  (2.31296e-18, 89)  (2.31296e-18, 90)  (2.31296e-18, 90)  (2.31296e-18, 90)  (2.31296e-18, 91)  
A-EFR_IN  (2.31296e-18, 77)  (2.31296e-18, 76)  (2.31296e-18, 77)  (2.31296e-18, 92)  (2.31296e-18, 91)  (2.31296e-18, 94)  (2.31296e-18, 89)  (2.31296e-18, 89)  (2.31296e-18, 90)  (2.31296e-18, 90)  (2.31296e-18, 92)  
BPS-EFR  (2.31296e-18, 77)  (2.31296e-18, 76)  (2.31296e-18, 77)  (2.31296e-18, 92)  (2.31296e-18, 90)  (2.31296e-18, 92)  (2.31296e-18, 89)  (2.31296e-18, 91)  (2.31296e-18, 88)  (2.31296e-18, 92)  (2.31296e-18, 89)  
TIPS-EFR  (2.31296e-18, 78)  (2.31296e-18, 76)  (2.31296e-18, 77)  (2.31296e-18, 90)  (2.31296e-18, 91)  (2.31296e-18, 96)  (2.31296e-18, 89)  (2.31296e-18, 91)  (2.31296e-18, 90)  (2.31296e-18, 91)  (2.31296e-18, 92)  
CSPS-EFR  (2.31296e-18, 78)  (2.31296e-18, 76)  (2.31296e-18, 78)  (2.31296e-18, 93)  (2.31296e-18, 91)  (2.31296e-18, 94)  (2.31296e-18, 94)  (2.31296e-18, 89)  (2.31296e-18, 90)  (2.31296e-18, 89)  (2.31296e-18, 93)  
CFPS-EFR  (2.31296e-18, 77)  (2.31296e-18, 76)  (2.31296e-18, 77)  (2.31296e-18, 91)  (2.31296e-18, 90)  (2.31296e-18, 94)  (2.31296e-18, 89)  (2.31296e-18, 90)  (2.31296e-18, 90)  (2.31296e-18, 91)  (2.31296e-18, 92)  
CFPS-EFR_EX+IN  (2.31296e-18, 78)  (2.31296e-18, 77)  (2.31296e-18, 77)  (2.31296e-18, 91)  (2.31296e-18, 90)  (2.31296e-18, 94)  (2.31296e-18, 89)  (2.31296e-18, 91)  (2.31296e-18, 90)  (2.31296e-18, 92)  (2.31296e-18, 92)  
TIPS-EFR_EX+IN  (2.31296e-18, 78)  (2.31296e-18, 77)  (2.31296e-18, 78)  (2.31296e-18, 91)  (2.31296e-18, 91)  (2.31296e-18, 94)  (2.31296e-18, 92)  (2.31296e-18, 91)  (2.31296e-18, 90)  (2.31296e-18, 90)  (2.31296e-18, 93)  
