learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (2.31296e-18, 123.5)  (2.31296e-18, 91)  (2.31296e-18, 74)  (2.31296e-18, 76)  (2.31296e-18, 75)  (2.31296e-18, 73)  (2.31296e-18, 76)  (2.31296e-18, 74)  (2.31296e-18, 72)  (2.31296e-18, 77)  (2.31296e-18, 89)  
CFR_EX+IN  (2.31296e-18, 144)  (2.31296e-18, 130)  (2.31296e-18, 89)  (2.31296e-18, 90)  (2.31296e-18, 91)  (2.31296e-18, 90)  (2.31296e-18, 89)  (2.31296e-18, 89)  (2.31296e-18, 92)  (2.31296e-18, 90)  (2.31296e-18, 89)  
CFR_IN  (2.31296e-18, 153)  (2.31296e-18, 173)  (2.31296e-18, 130.5)  (2.31296e-18, 89)  (2.31296e-18, 89)  (2.31296e-18, 90)  (2.31296e-18, 88)  (2.31296e-18, 90)  (2.31296e-18, 89)  (2.31296e-18, 87)  (2.31296e-18, 86)  
A-EFR_IN  (2.31296e-18, 142)  (2.31296e-18, 172)  (2.31296e-18, 173)  (2.31296e-18, 129.5)  (2.31296e-18, 86)  (2.31296e-18, 87)  (2.31296e-18, 90)  (2.31296e-18, 89)  (2.31296e-18, 87)  (2.31296e-18, 87)  (2.31296e-18, 86)  
BPS-EFR  (2.31296e-18, 141)  (2.31296e-18, 170)  (2.31296e-18, 172)  (2.31296e-18, 166)  (2.31296e-18, 128.5)  (2.31296e-18, 87)  (2.31296e-18, 86)  (2.31296e-18, 89)  (2.31296e-18, 85)  (2.31296e-18, 87)  (2.31296e-18, 86)  
TIPS-EFR  (2.31296e-18, 140)  (2.31296e-18, 170)  (2.31296e-18, 170)  (2.31296e-18, 166)  (2.31296e-18, 165)  (2.31296e-18, 126.5)  (2.31296e-18, 88)  (2.31296e-18, 86)  (2.31296e-18, 87)  (2.31296e-18, 88)  (2.31296e-18, 87)  
CSPS-EFR  (2.31296e-18, 140)  (2.31296e-18, 172)  (2.31296e-18, 171)  (2.31296e-18, 168)  (2.31296e-18, 165)  (2.31296e-18, 166)  (2.31296e-18, 126.5)  (2.31296e-18, 89)  (2.31296e-18, 87)  (2.31296e-18, 89)  (2.31296e-18, 88)  
CFPS-EFR  (2.31296e-18, 140)  (2.31296e-18, 171)  (2.31296e-18, 169)  (2.31296e-18, 170)  (2.31296e-18, 170)  (2.31296e-18, 167)  (2.31296e-18, 166)  (2.31296e-18, 127)  (2.31296e-18, 87)  (2.31296e-18, 87)  (2.31296e-18, 88)  
CFPS-EFR_EX+IN  (2.31296e-18, 140)  (2.31296e-18, 170)  (2.31296e-18, 171)  (2.31296e-18, 167)  (2.31296e-18, 167)  (2.31296e-18, 168)  (2.31296e-18, 167)  (2.31296e-18, 169)  (2.31296e-18, 129)  (2.31296e-18, 87)  (2.31296e-18, 89)  
TIPS-EFR_EX+IN  (2.31296e-18, 146)  (2.31296e-18, 170)  (2.31296e-18, 165)  (2.31296e-18, 168)  (2.31296e-18, 165)  (2.31296e-18, 167)  (2.31296e-18, 166)  (2.31296e-18, 168)  (2.31296e-18, 167)  (2.31296e-18, 127)  (2.31296e-18, 89)  
BEHAV-EFR  (2.31296e-18, 172)  (2.31296e-18, 171)  (2.31296e-18, 166)  (2.31296e-18, 169)  (2.31296e-18, 168)  (2.31296e-18, 168)  (2.31296e-18, 167)  (2.31296e-18, 168)  (2.31296e-18, 165)  (2.31296e-18, 168)  (2.31296e-18, 128.5)  
t = 1
CFR  (-2.42861e-17, 4)  (0.00978558, 9)  (0.362222, 5)  (0.362222, 6)  (-1.21431e-17, 4)  (0.362222, 7)  (0.249419, 10)  (0.362222, 6)  (0.00978558, 8)  (0.00978558, 7)  (0.362222, 9)  
CFR_EX+IN  (-0.0077521, 6)  (-1.15648e-18, 14)  (0.338877, 9)  (0.338877, 8)  (-0.0077521, 7)  (0.338877, 11)  (0.233345, 15)  (0.338877, 9)  (-5.66676e-17, 12)  (1.61908e-17, 11)  (0.338877, 9)  
CFR_IN  (-0.0709352, 5)  (-0.0890381, 14)  (0, 9)  (1.00903e-16, 9)  (-0.0709352, 6)  (-1.09866e-16, 11)  (-2.73751e-16, 15)  (1.9082e-17, 9)  (-0.0890381, 12)  (-0.0890381, 11)  (2.84061e-17, 9)  
A-EFR_IN  (-0.0709352, 5)  (-0.0890381, 14)  (-1.00903e-16, 9)  (1.54074e-32, 8.5)  (-0.0709352, 6)  (-2.10769e-16, 11)  (-3.74654e-16, 14)  (-8.18211e-17, 8)  (-0.0890381, 11)  (-0.0890381, 11)  (-7.2497e-17, 8)  
BPS-EFR  (-3.29597e-17, 5)  (0.00978558, 14)  (0.362222, 9)  (0.362222, 8)  (-3.00685e-17, 6)  (0.362222, 10)  (0.249419, 14)  (0.362222, 9)  (0.00978558, 12)  (0.00978558, 10)  (0.362222, 9)  
TIPS-EFR  (-0.0709352, 5)  (-0.0890381, 14)  (1.09866e-16, 9)  (2.10769e-16, 9)  (-0.0709352, 6)  (7.39557e-32, 11)  (-1.63885e-16, 14)  (1.28948e-16, 9)  (-0.0890381, 12)  (-0.0890381, 10)  (1.38272e-16, 9)  
CSPS-EFR  (-0.0267701, 5)  (-0.0415944, 14)  (3.21409e-16, 10)  (4.22312e-16, 9)  (-0.0267701, 6)  (2.11543e-16, 11)  (0, 15)  (3.40491e-16, 9)  (-0.0415944, 12)  (-0.0415944, 11)  (3.49815e-16, 9)  
CFPS-EFR  (-0.0709352, 5)  (-0.0890381, 14)  (-1.9082e-17, 9)  (8.18211e-17, 9)  (-0.0709352, 7)  (-1.28948e-16, 11)  (-2.92833e-16, 14)  (-3.08149e-32, 8.5)  (-0.0890381, 12)  (-0.0890381, 11)  (9.32414e-18, 9)  
CFPS-EFR_EX+IN  (-0.0077521, 5)  (5.66676e-17, 14)  (0.338877, 9)  (0.338877, 8)  (-0.0077521, 6)  (0.338877, 11)  (0.233345, 14)  (0.338877, 9)  (-8.09538e-18, 12)  (6.93889e-17, 11)  (0.338877, 9)  
TIPS-EFR_EX+IN  (-0.0077521, 5)  (-1.61908e-17, 14)  (0.338877, 9)  (0.338877, 9)  (-0.0077521, 7)  (0.338877, 11)  (0.233345, 15)  (0.338877, 9)  (-7.97973e-17, 12)  (-1.15648e-18, 11)  (0.338877, 9)  
