learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (5.55112e-17, 42)  (5.55112e-17, 34)  (5.55112e-17, 41)  (5.55112e-17, 45)  (5.55112e-17, 46)  (5.55112e-17, 49)  (5.55112e-17, 50)  (5.55112e-17, 53)  (5.55112e-17, 53)  (5.55112e-17, 56)  (5.55112e-17, 54)  
CFR_EX+IN  (5.55112e-17, 16)  (5.55112e-17, 15)  (5.55112e-17, 19)  (5.55112e-17, 20)  (5.55112e-17, 21)  (5.55112e-17, 21)  (5.55112e-17, 22)  (5.55112e-17, 22)  (5.55112e-17, 22)  (5.55112e-17, 23)  (5.55112e-17, 22)  
CFR_IN  (5.55112e-17, 15)  (5.55112e-17, 15)  (5.55112e-17, 19)  (5.55112e-17, 20)  (5.55112e-17, 20)  (5.55112e-17, 21)  (5.55112e-17, 21)  (5.55112e-17, 21)  (5.55112e-17, 21)  (5.55112e-17, 22)  (5.55112e-17, 21)  
A-EFR_IN  (5.55112e-17, 15)  (5.55112e-17, 14)  (5.55112e-17, 18)  (5.55112e-17, 19)  (5.55112e-17, 19)  (5.55112e-17, 20)  (5.55112e-17, 20)  (5.55112e-17, 21)  (5.55112e-17, 20)  (5.55112e-17, 21)  (5.55112e-17, 20)  
BPS-EFR  (5.55112e-17, 14)  (5.55112e-17, 13)  (5.55112e-17, 17)  (5.55112e-17, 18)  (5.55112e-17, 19)  (5.55112e-17, 19)  (5.55112e-17, 19)  (5.55112e-17, 20)  (5.55112e-17, 20)  (5.55112e-17, 20)  (5.55112e-17, 19)  
TIPS-EFR  (5.55112e-17, 16)  (5.55112e-17, 15)  (5.55112e-17, 19)  (5.55112e-17, 20)  (5.55112e-17, 20)  (5.55112e-17, 21)  (5.55112e-17, 21)  (5.55112e-17, 21)  (5.55112e-17, 21)  (5.55112e-17, 22)  (5.55112e-17, 21)  
CSPS-EFR  (5.55112e-17, 16)  (5.55112e-17, 16)  (5.55112e-17, 20)  (5.55112e-17, 20)  (5.55112e-17, 21)  (5.55112e-17, 21)  (5.55112e-17, 22)  (5.55112e-17, 22)  (5.55112e-17, 22)  (5.55112e-17, 23)  (5.55112e-17, 22)  
CFPS-EFR  (5.55112e-17, 15)  (5.55112e-17, 15)  (5.55112e-17, 19)  (5.55112e-17, 20)  (5.55112e-17, 20)  (5.55112e-17, 21)  (5.55112e-17, 21)  (5.55112e-17, 21)  (5.55112e-17, 21)  (5.55112e-17, 22)  (5.55112e-17, 21)  
CFPS-EFR_EX+IN  (5.55112e-17, 17)  (5.55112e-17, 16)  (5.55112e-17, 20)  (5.55112e-17, 20)  (5.55112e-17, 21)  (5.55112e-17, 22)  (5.55112e-17, 21)  (5.55112e-17, 22)  (5.55112e-17, 22)  (5.55112e-17, 23)  (5.55112e-17, 21)  
TIPS-EFR_EX+IN  (5.55112e-17, 18)  (5.55112e-17, 16)  (5.55112e-17, 20)  (5.55112e-17, 21)  (5.55112e-17, 21)  (5.55112e-17, 21)  (5.55112e-17, 22)  (5.55112e-17, 22)  (5.55112e-17, 22)  (5.55112e-17, 23)  (5.55112e-17, 22)  
BEHAV-EFR  (5.55112e-17, 16)  (5.55112e-17, 15)  (5.55112e-17, 19)  (5.55112e-17, 20)  (5.55112e-17, 20)  (5.55112e-17, 20)  (5.55112e-17, 21)  (5.55112e-17, 21)  (5.55112e-17, 21)  (5.55112e-17, 22)  (5.55112e-17, 21)  
BR  (2.37361, 6)  (2.37361, 6)  (2.37361, 9)  (2.37361, 9)  (2.37361, 9)  (2.37361, 10)  (2.37361, 10)  (2.37361, 10)  (2.37361, 10)  (2.37361, 10)  (2.37361, 9)  
t = 1
CFR  (0, 5)  (0.0162319, 5)  (0.746667, 7)  (0.746667, 7)  (0, 7)  (0.746667, 7)  (0.0041177, 7)  (0.746667, 7)  (0.0162319, 7)  (0.0162319, 7)  (0.746667, 7)  
CFR_EX+IN  (-0.0162319, 5)  (0, 6)  (0.730435, 7)  (0.730435, 7)  (-0.0162319, 7)  (0.730435, 7)  (-0.0121142, 7)  (0.730435, 8)  (-4.44089e-16, 8)  (-4.44089e-16, 8)  (0.730435, 7)  
CFR_IN  (-0.746667, 5)  (-0.730435, 5)  (0, 7)  (0, 7)  (-0.746667, 7)  (1.11022e-15, 7)  (-0.742549, 7)  (1.11022e-15, 8)  (-0.730435, 7)  (-0.730435, 8)  (0, 7)  
A-EFR_IN  (-0.746667, 5)  (-0.730435, 5)  (0, 7)  (0, 7)  (-0.746667, 7)  (1.11022e-15, 7)  (-0.742549, 6)  (1.11022e-15, 7)  (-0.730435, 7)  (-0.730435, 7)  (0, 7)  
BPS-EFR  (0, 5)  (0.0162319, 5)  (0.746667, 7)  (0.746667, 7)  (0, 6)  (0.746667, 6)  (0.0041177, 6)  (0.746667, 7)  (0.0162319, 6)  (0.0162319, 7)  (0.746667, 6)  
