learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (3.46945e-18, 157)  (3.46945e-18, 149)  (3.46945e-18, 153)  (3.46945e-18, 165)  (3.46945e-18, 172)  (3.46945e-18, 179)  (3.46945e-18, 158)  (3.46945e-18, 166)  (3.46945e-18, 162)  (3.46945e-18, 190)  (3.46945e-18, 202)  
CFR_EX+IN  (3.46945e-18, 61)  (3.46945e-18, 65)  (3.46945e-18, 67)  (3.46945e-18, 71)  (3.46945e-18, 74)  (3.46945e-18, 76)  (3.46945e-18, 67)  (3.46945e-18, 58)  (3.46945e-18, 62)  (3.46945e-18, 75)  (3.46945e-18, 79)  
CFR_IN  (3.46945e-18, 56)  (3.46945e-18, 63)  (3.46945e-18, 65)  (3.46945e-18, 68)  (3.46945e-18, 71)  (3.46945e-18, 73)  (3.46945e-18, 63)  (3.46945e-18, 64)  (3.46945e-18, 65)  (3.46945e-18, 74)  (3.46945e-18, 76)  
A-EFR_IN  (3.46945e-18, 56)  (3.46945e-18, 62)  (3.46945e-18, 65)  (3.46945e-18, 68)  (3.46945e-18, 70)  (3.46945e-18, 72)  (3.46945e-18, 57)  (3.46945e-18, 53)  (3.46945e-18, 60)  (3.46945e-18, 73)  (3.46945e-18, 76)  
BPS-EFR  (3.46945e-18, 56)  (3.46945e-18, 62)  (3.46945e-18, 64)  (3.46945e-18, 68)  (3.46945e-18, 71)  (3.46945e-18, 72)  (3.46945e-18, 60)  (3.46945e-18, 60)  (3.46945e-18, 63)  (3.46945e-18, 71)  (3.46945e-18, 75)  
TIPS-EFR  (3.46945e-18, 58)  (3.46945e-18, 63)  (3.46945e-18, 67)  (3.46945e-18, 70)  (3.46945e-18, 72)  (3.46945e-18, 75)  (3.46945e-18, 67)  (3.46945e-18, 64)  (3.46945e-18, 56)  (3.46945e-18, 74)  (3.46945e-18, 77)  
CSPS-EFR  (3.46945e-18, 61)  (3.46945e-18, 67)  (3.46945e-18, 69)  (3.46945e-18, 72)  (3.46945e-18, 75)  (3.46945e-18, 76)  (3.46945e-18, 65)  (3.46945e-18, 63)  (3.46945e-18, 65)  (3.46945e-18, 76)  (3.46945e-18, 80)  
CFPS-EFR  (3.46945e-18, 56)  (3.46945e-18, 63)  (3.46945e-18, 67)  (3.46945e-18, 69)  (3.46945e-18, 72)  (3.46945e-18, 73)  (3.46945e-18, 62)  (3.46945e-18, 62)  (3.46945e-18, 59)  (3.46945e-18, 73)  (3.46945e-18, 76)  
CFPS-EFR_EX+IN  (3.46945e-18, 54)  (3.46945e-18, 66)  (3.46945e-18, 68)  (3.46945e-18, 73)  (3.46945e-18, 73)  (3.46945e-18, 76)  (3.46945e-18, 68)  (3.46945e-18, 56)  (3.46945e-18, 61)  (3.46945e-18, 76)  (3.46945e-18, 78)  
TIPS-EFR_EX+IN  (3.46945e-18, 64)  (3.46945e-18, 66)  (3.46945e-18, 69)  (3.46945e-18, 73)  (3.46945e-18, 74)  (3.46945e-18, 78)  (3.46945e-18, 69)  (3.46945e-18, 70)  (3.46945e-18, 68)  (3.46945e-18, 75)  (3.46945e-18, 79)  
