learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (0.375, 104)  (0.375, 104)  (0.375, 126)  (0.375, 130)  (0.375, 140)  (0.375, 155)  (0.375, 166)  (0.375, 162)  (0.375, 162)  (0.375, 180)  (0.375, 174)  
CFR_EX+IN  (0.375, 72)  (0.375, 66)  (0.375, 73)  (0.375, 76)  (0.375, 77)  (0.375, 81)  (0.375, 85)  (0.375, 83)  (0.375, 83)  (0.375, 90)  (0.375, 87)  
CFR_IN  (0.375, 69)  (0.375, 63)  (0.375, 69)  (0.375, 71)  (0.375, 71)  (0.375, 76)  (0.375, 78)  (0.375, 77)  (0.375, 79)  (0.375, 80)  (0.375, 79)  
A-EFR_IN  (0.375, 64)  (0.375, 60)  (0.375, 64)  (0.375, 66)  (0.375, 69)  (0.375, 70)  (0.375, 73)  (0.375, 71)  (0.375, 72)  (0.375, 77)  (0.375, 75)  
BPS-EFR  (0.375, 52)  (0.375, 48)  (0.375, 52)  (0.375, 54)  (0.375, 55)  (0.375, 59)  (0.375, 61)  (0.375, 59)  (0.375, 62)  (0.375, 61)  (0.375, 62)  
TIPS-EFR  (0.375, 79)  (0.375, 73)  (0.375, 77)  (0.375, 77)  (0.375, 80)  (0.375, 82)  (0.375, 85)  (0.375, 83)  (0.375, 91)  (0.375, 89)  (0.375, 88)  
CSPS-EFR  (0.375, 72)  (0.375, 66)  (0.375, 72)  (0.375, 73)  (0.375, 74)  (0.375, 78)  (0.375, 80)  (0.375, 79)  (0.375, 84)  (0.375, 80)  (0.375, 82)  
CFPS-EFR  (0.375, 71)  (0.375, 66)  (0.375, 69)  (0.375, 71)  (0.375, 72)  (0.375, 76)  (0.375, 76)  (0.375, 74)  (0.375, 78)  (0.375, 79)  (0.375, 78)  
CFPS-EFR_EX+IN  (0.375, 77)  (0.375, 69)  (0.375, 74)  (0.375, 75)  (0.375, 75)  (0.375, 79)  (0.375, 81)  (0.375, 80)  (0.375, 82)  (0.375, 84)  (0.375, 84)  
TIPS-EFR_EX+IN  (0.375, 85)  (0.375, 79)  (0.375, 82)  (0.375, 82)  (0.375, 85)  (0.375, 86)  (0.375, 90)  (0.375, 89)  (0.375, 90)  (0.375, 93)  (0.375, 91)  
BEHAV-EFR  (0.375, 202)  (0.375, 164)  (0.375, 169)  (0.375, 168)  (0.375, 192)  (0.375, 172)  (0.375, 174)  (0.375, 173)  (0.375, 176)  (0.375, 197)  (0.375, 175)  
BR  (1.96875, 23)  (1.96875, 25)  (1.96875, 26)  (1.96875, 29)  (1.96875, 31)  (1.96875, 31)  (1.96875, 31)  (1.96875, 30)  (1.96875, 31)  (1.96875, 31)  (1.96875, 30)  
t = 1
CFR  (0, 32)  (0, 45)  (8.88178e-16, 45)  (1.33227e-15, 43)  (0, 41)  (8.88178e-16, 45)  (2.66454e-15, 56)  (8.88178e-16, 45)  (0, 53)  (0, 50)  (8.88178e-16, 44)  
CFR_EX+IN  (-4.44089e-16, 45)  (0, 58)  (8.88178e-16, 55)  (1.33227e-15, 56)  (-4.44089e-16, 52)  (8.88178e-16, 59)  (2.22045e-15, 70)  (8.88178e-16, 58)  (0, 64)  (0, 65)  (4.44089e-16, 59)  
CFR_IN  (-8.88178e-16, 44)  (-8.88178e-16, 56)  (0, 55)  (4.44089e-16, 53)  (-8.88178e-16, 50)  (0, 56)  (1.77636e-15, 67)  (0, 57)  (-8.88178e-16, 65)  (-8.88178e-16, 62)  (0, 60)  
A-EFR_IN  (-1.33227e-15, 41)  (-8.88178e-16, 53)  (0, 52)  (0, 50)  (-1.33227e-15, 48)  (0, 53)  (8.88178e-16, 64)  (0, 52)  (-8.88178e-16, 59)  (-8.88178e-16, 59)  (-4.44089e-16, 58)  
BPS-EFR  (0, 31)  (0, 43)  (8.88178e-16, 41)  (1.33227e-15, 41)  (0, 37)  (8.88178e-16, 44)  (2.66454e-15, 53)  (8.88178e-16, 44)  (0, 47)  (0, 49)  (8.88178e-16, 45)  
TIPS-EFR  (-8.88178e-16, 50)  (-8.88178e-16, 63)  (0, 62)  (4.44089e-16, 59)  (-8.88178e-16, 58)  (0, 64)  (1.77636e-15, 72)  (0, 62)  (-8.88178e-16, 68)  (-8.88178e-16, 68)  (0, 64)  
CSPS-EFR  (-2.66454e-15, 46)  (-2.66454e-15, 58)  (-1.77636e-15, 57)  (-1.33227e-15, 55)  (-2.66454e-15, 53)  (-1.77636e-15, 59)  (0, 70)  (-1.77636e-15, 56)  (-2.66454e-15, 62)  (-2.66454e-15, 62)  (-1.77636e-15, 61)  
CFPS-EFR  (-8.88178e-16, 47)  (-8.88178e-16, 58)  (0, 59)  (4.44089e-16, 55)  (-8.88178e-16, 55)  (0, 59)  (1.77636e-15, 67)  (0, 59)  (-8.88178e-16, 64)  (-8.88178e-16, 62)  (0, 60)  
CFPS-EFR_EX+IN  (-4.44089e-16, 48)  (0, 61)  (8.88178e-16, 58)  (1.33227e-15, 58)  (-4.44089e-16, 56)  (8.88178e-16, 61)  (2.22045e-15, 72)  (8.88178e-16, 60)  (0, 65)  (0, 68)  (4.44089e-16, 61)  
TIPS-EFR_EX+IN  (-4.44089e-16, 53)  (0, 65)  (8.88178e-16, 65)  (1.33227e-15, 63)  (-4.44089e-16, 63)  (8.88178e-16, 67)  (2.22045e-15, 75)  (8.88178e-16, 65)  (0, 70)  (0, 71)  (4.44089e-16, 66)  
BEHAV-EFR  (-8.88178e-16, 121)  (-8.88178e-16, 132)  (0, 132)  (4.44089e-16, 129)  (-8.88178e-16, 143)  (0, 132)  (1.77636e-15, 142)  (0, 131)  (-8.88178e-16, 138)  (-8.88178e-16, 136)  (0, 133)  
BR  (1.625, 20)  (1.61111, 24)  (1.5, 25)  (1.5, 25)  (1.625, 21)  (1.5, 27)  (1.625, 31)  (1.5, 26)  (1.61111, 29)  (1.61111, 28)  (1.5, 27)  
t = 2
CFR  (0, 33)  (-0.00914559, 41)  (0.339844, 49)  (0.339844, 44)  (0, 35)  (0.339844, 51)  (-5.43258e-07, 54)  (0.339844, 50)  (-0.00914559, 44)  (-0.00914559, 46)  (0.339844, 48)  
CFR_EX+IN  (0.0104167, 56)  (8.32667e-17, 53)  (0.302083, 62)  (0.302083, 57)  (0.0104167, 49)  (0.302083, 63)  (0.0104161, 67)  (0.302083, 63)  (5.82867e-16, 60)  (2.498e-16, 58)  (0.302083, 64)  
CFR_IN  (0.09375, 57)  (0.0731647, 53)  (2.77556e-16, 62)  (4.996e-16, 55)  (0.09375, 49)  (9.4369e-16, 62)  (0.0937489, 64)  (-1.05471e-15, 61)  (0.0731647, 59)  (0.0731647, 59)  (1.05471e-15, 60)  
A-EFR_IN  (0.09375, 42)  (0.0731647, 46)  (-5.55112e-17, 53)  (2.22045e-16, 47)  (0.09375, 42)  (7.21645e-16, 54)  (0.0937489, 56)  (-1.38778e-15, 51)  (0.0731647, 51)  (0.0731647, 48)  (7.77156e-16, 55)  
BPS-EFR  (0, 35)  (-0.00914559, 38)  (0.339844, 47)  (0.339844, 42)  (0, 33)  (0.339844, 48)  (-5.43258e-07, 51)  (0.339844, 49)  (-0.00914559, 44)  (-0.00914559, 41)  (0.339844, 48)  
TIPS-EFR  (0.09375, 58)  (0.0731647, 59)  (-4.996e-16, 66)  (-2.22045e-16, 61)  (0.09375, 53)  (2.22045e-16, 68)  (0.0937489, 70)  (-1.83187e-15, 65)  (0.0731647, 65)  (0.0731647, 64)  (2.77556e-16, 67)  
CSPS-EFR  (5.43261e-07, 53)  (-0.00914511, 55)  (0.339842, 63)  (0.339842, 55)  (5.43261e-07, 50)  (0.339842, 64)  (2.498e-16, 66)  (0.339842, 62)  (-0.00914511, 60)  (-0.00914511, 58)  (0.339842, 64)  
CFPS-EFR  (0.09375, 53)  (0.0731647, 54)  (1.55431e-15, 63)  (1.77636e-15, 57)  (0.09375, 49)  (2.27596e-15, 68)  (0.0937489, 66)  (2.22045e-16, 63)  (0.0731647, 61)  (0.0731647, 60)  (2.38698e-15, 63)  
CFPS-EFR_EX+IN  (0.0104167, 55)  (-3.60822e-16, 57)  (0.302083, 66)  (0.302083, 58)  (0.0104167, 52)  (0.302083, 94)  (0.0104161, 67)  (0.302083, 64)  (1.11022e-16, 61)  (-1.94289e-16, 60)  (0.302083, 66)  
TIPS-EFR_EX+IN  (0.0104167, 61)  (-5.55112e-17, 61)  (0.302083, 71)  (0.302083, 64)  (0.0104167, 58)  (0.302083, 78)  (0.0104161, 74)  (0.302083, 71)  (4.44089e-16, 65)  (8.32667e-17, 66)  (0.302083, 70)  
BEHAV-EFR  (0.09375, 147)  (0.0731647, 128)  (-5.55112e-16, 138)  (-2.77556e-16, 130)  (0.09375, 123)  (1.66533e-16, 160)  (0.0937489, 141)  (-1.88738e-15, 136)  (0.0731647, 133)  (0.0731647, 133)  (2.22045e-16, 136)  
BR  (1.625, 20)  (1.61111, 22)  (1.5, 28)  (1.5, 25)  (1.625, 21)  (1.5, 29)  (1.625, 29)  (1.5, 29)  (1.61111, 27)  (1.61111, 25)  (1.5, 27)  
t = 3
CFR  (0, 36)  (-0.0373322, 41)  (0.0175357, 53)  (-0.0149829, 43)  (-0.108187, 37)  (-0.000862036, 55)  (-0.117708, 54)  (0.000522833, 50)  (-0.148739, 45)  (-0.158482, 44)  (-0.0149829, 54)  
CFR_EX+IN  (0.0395934, 45)  (4.44089e-16, 52)  (-0.00204765, 62)  (-0.0345662, 54)  (-0.0685939, 47)  (-0.0204454, 71)  (-0.0781147, 66)  (-0.0190605, 64)  (-0.111406, 58)  (-0.12115, 56)  (-0.0345662, 69)  
CFR_IN  (-0.6348, 44)  (-0.678088, 53)  (0, 62)  (-0.0325186, 53)  (-0.742987, 46)  (-0.0183977, 68)  (-0.752508, 64)  (-0.0170129, 63)  (-0.789495, 56)  (-0.799238, 55)  (-0.0325186, 65)  
A-EFR_IN  (-0.607196, 35)  (-0.650629, 43)  (0.0325186, 50)  (0, 43)  (-0.715384, 36)  (0.0141209, 57)  (-0.724905, 55)  (0.0155057, 52)  (-0.762036, 47)  (-0.77178, 46)  (-1.77636e-15, 55)  
BPS-EFR  (0.108187, 32)  (0.072288, 40)  (0.030549, 47)  (-0.00196963, 40)  (0, 33)  (0.0121512, 55)  (-0.0095206, 49)  (0.0135361, 46)  (-0.0391185, 43)  (-0.048862, 41)  (-0.00196963, 52)  
TIPS-EFR  (-0.619251, 50)  (-0.662622, 58)  (0.0183977, 67)  (-0.0141209, 59)  (-0.727439, 53)  (0, 76)  (-0.73696, 70)  (0.00138487, 68)  (-0.774029, 62)  (-0.783772, 62)  (-0.0141209, 70)  
CSPS-EFR  (0.117708, 48)  (0.0819399, 54)  (0.0316337, 62)  (-0.000884859, 55)  (0.0095206, 49)  (0.013236, 71)  (4.44089e-16, 65)  (0.0146209, 62)  (-0.0294666, 58)  (-0.0392101, 55)  (-0.000884859, 68)  
CFPS-EFR  (-0.620428, 50)  (-0.663793, 55)  (0.0170129, 64)  (-0.0155057, 55)  (-0.728615, 49)  (-0.00138487, 69)  (-0.738136, 65)  (0, 63)  (-0.775199, 58)  (-0.784943, 56)  (-0.0155057, 66)  
CFPS-EFR_EX+IN  (0.150341, 49)  (0.111406, 57)  (0.0180137, 66)  (-0.0145049, 58)  (0.0421532, 51)  (-0.000384029, 70)  (0.0326325, 68)  (0.00100084, 65)  (4.44089e-16, 60)  (-0.00974357, 60)  (-0.0145049, 69)  
TIPS-EFR_EX+IN  (0.160023, 57)  (0.12115, 62)  (0.0197108, 72)  (-0.0128078, 64)  (0.0518355, 57)  (0.00131303, 76)  (0.0423147, 73)  (0.0026979, 70)  (0.00974357, 67)  (4.44089e-16, 64)  (-0.0128078, 72)  
BEHAV-EFR  (-0.607196, 122)  (-0.650629, 128)  (0.0325186, 136)  (1.77636e-15, 128)  (-0.715384, 121)  (0.0141209, 140)  (-0.724905, 139)  (0.0155057, 137)  (-0.762036, 131)  (-0.77178, 129)  (0, 139)  
BR  (2.23214, 19)  (2.2797, 23)  (2.07995, 28)  (2.09513, 23)  (2.30427, 20)  (2.08854, 29)  (2.31062, 30)  (2.08789, 27)  (2.34844, 25)  (2.35439, 25)  (2.09513, 26)  
t = 4
CFR  (0, 32)  (0, 35)  (-0.227546, 37)  (-0.228432, 35)  (0, 34)  (-0.228062, 40)  (0, 36)  (-0.228024, 41)  (-2.22045e-16, 38)  (-2.22045e-16, 38)  (-0.228432, 36)  
CFR_EX+IN  (0, 44)  (0, 49)  (-0.222837, 50)  (-0.223705, 47)  (-2.22045e-16, 47)  (-0.223342, 53)  (2.22045e-16, 50)  (-0.223306, 54)  (-4.44089e-16, 53)  (-4.44089e-16, 51)  (-0.223705, 49)  
CFR_IN  (8.88178e-16, 45)  (8.88178e-16, 52)  (0, 48)  (-5.55112e-16, 47)  (1.11022e-15, 46)  (-4.44089e-16, 50)  (4.44089e-16, 49)  (-5.55112e-16, 53)  (4.44089e-16, 50)  (4.44089e-16, 51)  (-5.55112e-16, 51)  
