learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (0.375, 75.5)  (0.375, 44)  (0.375, 44)  (0.375, 45)  (0.375, 44)  (0.375, 45)  (0.375, 46)  (0.375, 44)  (0.375, 45)  (0.375, 46)  (0.375, 48)  
CFR_EX+IN  (0.375, 106)  (0.375, 83.5)  (0.375, 64)  (0.375, 65)  (0.375, 65)  (0.375, 64)  (0.375, 63)  (0.375, 62)  (0.375, 62)  (0.375, 62)  (0.375, 68)  
CFR_IN  (0.375, 101)  (0.375, 102)  (0.375, 80.5)  (0.375, 61)  (0.375, 62)  (0.375, 61)  (0.375, 60)  (0.375, 61)  (0.375, 62)  (0.375, 62)  (0.375, 66)  
A-EFR_IN  (0.375, 96)  (0.375, 97)  (0.375, 94)  (0.375, 77.5)  (0.375, 57)  (0.375, 58)  (0.375, 58)  (0.375, 57)  (0.375, 57)  (0.375, 59)  (0.375, 61)  
BPS-EFR  (0.375, 87)  (0.375, 87)  (0.375, 89)  (0.375, 87)  (0.375, 65)  (0.375, 45)  (0.375, 45)  (0.375, 44)  (0.375, 44)  (0.375, 44)  (0.375, 46)  
TIPS-EFR  (0.375, 111)  (0.375, 115)  (0.375, 111)  (0.375, 118)  (0.375, 112)  (0.375, 86)  (0.375, 67)  (0.375, 67)  (0.375, 67)  (0.375, 67)  (0.375, 73)  
CSPS-EFR  (0.375, 106)  (0.375, 105)  (0.375, 105)  (0.375, 108)  (0.375, 107)  (0.375, 103)  (0.375, 81)  (0.375, 62)  (0.375, 63)  (0.375, 64)  (0.375, 68)  
CFPS-EFR  (0.375, 105)  (0.375, 102)  (0.375, 105)  (0.375, 105)  (0.375, 99)  (0.375, 98)  (0.375, 102)  (0.375, 82.5)  (0.375, 60)  (0.375, 61)  (0.375, 66)  
CFPS-EFR_EX+IN  (0.375, 108)  (0.375, 104)  (0.375, 109)  (0.375, 107)  (0.375, 102)  (0.375, 102)  (0.375, 105)  (0.375, 103)  (0.375, 83.5)  (0.375, 67)  (0.375, 68)  
TIPS-EFR_EX+IN  (0.375, 117)  (0.375, 114)  (0.375, 116)  (0.375, 118)  (0.375, 111)  (0.375, 111)  (0.375, 114)  (0.375, 111)  (0.375, 114)  (0.375, 90.5)  (0.375, 77)  
BEHAV-EFR  (0.375, 211)  (0.375, 201)  (0.375, 209)  (0.375, 207)  (0.375, 203)  (0.375, 197)  (0.375, 198)  (0.375, 200)  (0.375, 196)  (0.375, 199)  (0.375, 175.5)  
t = 1
CFR  (0, 32)  (0, 42)  (8.88178e-16, 38)  (1.33227e-15, 37)  (0, 31)  (8.88178e-16, 37)  (2.66454e-15, 45)  (8.88178e-16, 39)  (0, 42)  (0, 42)  (8.88178e-16, 39)  
CFR_EX+IN  (-4.44089e-16, 48)  (0, 59)  (8.88178e-16, 52)  (1.33227e-15, 52)  (-4.44089e-16, 46)  (8.88178e-16, 52)  (2.22045e-15, 59)  (8.88178e-16, 51)  (0, 54)  (0, 56)  (4.44089e-16, 52)  
CFR_IN  (-8.88178e-16, 48)  (-8.88178e-16, 59)  (0, 53.5)  (4.44089e-16, 51)  (-8.88178e-16, 45)  (0, 53)  (1.77636e-15, 59)  (0, 51)  (-8.88178e-16, 56)  (-8.88178e-16, 56)  (0, 52)  
A-EFR_IN  (-1.33227e-15, 43)  (-8.88178e-16, 56)  (0, 54)  (0, 49.5)  (-1.33227e-15, 42)  (0, 50)  (8.88178e-16, 60)  (0, 49)  (-8.88178e-16, 52)  (-8.88178e-16, 53)  (-4.44089e-16, 49)  
BPS-EFR  (0, 34)  (0, 45)  (8.88178e-16, 42)  (1.33227e-15, 42)  (0, 32.5)  (8.88178e-16, 38)  (2.66454e-15, 47)  (8.88178e-16, 35)  (0, 40)  (0, 40)  (8.88178e-16, 38)  
TIPS-EFR  (-8.88178e-16, 54)  (-8.88178e-16, 65)  (0, 61)  (4.44089e-16, 61)  (-8.88178e-16, 53)  (0, 56)  (1.77636e-15, 60)  (0, 54)  (-8.88178e-16, 60)  (-8.88178e-16, 60)  (0, 54)  
CSPS-EFR  (-2.66454e-15, 50)  (-2.66454e-15, 58)  (-1.77636e-15, 56)  (-1.33227e-15, 62)  (-2.66454e-15, 51)  (-1.77636e-15, 54)  (0, 59)  (-1.77636e-15, 54)  (-2.66454e-15, 54)  (-2.66454e-15, 54)  (-1.77636e-15, 49)  
CFPS-EFR  (-8.88178e-16, 52)  (-8.88178e-16, 61)  (0, 58)  (4.44089e-16, 56)  (-8.88178e-16, 49)  (0, 54)  (1.77636e-15, 67)  (0, 54.5)  (-8.88178e-16, 54)  (-8.88178e-16, 56)  (0, 52)  
