learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (-12.3294, 467)  (-12.3294, 242)  (-12.3294, 259)  (-12.3294, 266)  (-12.3294, 297)  (-12.3294, 287)  (-12.3294, 287)  (-12.3294, 302)  (-12.3294, 311)  (-12.3294, 314)  (-12.3294, 327)  
CFR_EX+IN  (-12.3294, 102)  (-12.3294, 105)  (-12.3294, 105)  (-12.3294, 105)  (-12.3294, 110)  (-12.3294, 109)  (-12.3294, 107)  (-12.3294, 108)  (-12.3294, 111)  (-12.3294, 112)  (-12.3294, 114)  
CFR_IN  (-12.3294, 100)  (-12.3294, 96)  (-12.3294, 98)  (-12.3294, 99)  (-12.3294, 104)  (-12.3294, 104)  (-12.3294, 105)  (-12.3294, 107)  (-12.3294, 110)  (-12.3294, 111)  (-12.3294, 112)  
A-EFR_IN  (-12.3294, 98)  (-12.3294, 94)  (-12.3294, 95)  (-12.3294, 97)  (-12.3294, 105)  (-12.3294, 103)  (-12.3294, 103)  (-12.3294, 105)  (-12.3294, 107)  (-12.3294, 108)  (-12.3294, 109)  
BPS-EFR  (-12.3294, 92)  (-12.3294, 88)  (-12.3294, 89)  (-12.3294, 91)  (-12.3294, 97)  (-12.3294, 96)  (-12.3294, 96)  (-12.3294, 99)  (-12.3294, 101)  (-12.3294, 103)  (-12.3294, 104)  
TIPS-EFR  (-12.3294, 103)  (-12.3294, 98)  (-12.3294, 100)  (-12.3294, 101)  (-12.3294, 107)  (-12.3294, 106)  (-12.3294, 107)  (-12.3294, 109)  (-12.3294, 111)  (-12.3294, 113)  (-12.3294, 114)  
CSPS-EFR  (-12.3294, 101)  (-12.3294, 99)  (-12.3294, 99)  (-12.3294, 100)  (-12.3294, 107)  (-12.3294, 106)  (-12.3294, 106)  (-12.3294, 108)  (-12.3294, 109)  (-12.3294, 111)  (-12.3294, 114)  
CFPS-EFR  (-12.3294, 101)  (-12.3294, 97)  (-12.3294, 98)  (-12.3294, 99)  (-12.3294, 111)  (-12.3294, 105)  (-12.3294, 105)  (-12.3294, 107)  (-12.3294, 109)  (-12.3294, 111)  (-12.3294, 112)  
CFPS-EFR_EX+IN  (-12.3294, 102)  (-12.3294, 97)  (-12.3294, 100)  (-12.3294, 101)  (-12.3294, 107)  (-12.3294, 107)  (-12.3294, 106)  (-12.3294, 108)  (-12.3294, 111)  (-12.3294, 112)  (-12.3294, 113)  
TIPS-EFR_EX+IN  (-12.3294, 104)  (-12.3294, 103)  (-12.3294, 102)  (-12.3294, 103)  (-12.3294, 109)  (-12.3294, 109)  (-12.3294, 109)  (-12.3294, 110)  (-12.3294, 112)  (-12.3294, 113)  (-12.3294, 115)  
BEHAV-EFR  (-12.3294, 103)  (-12.3294, 102)  (-12.3294, 101)  (-12.3294, 102)  (-12.3294, 108)  (-12.3294, 108)  (-12.3294, 107)  (-12.3294, 110)  (-12.3294, 113)  (-12.3294, 114)  (-12.3294, 115)  
BR  (-1.93774, 54)  (-1.93774, 52)  (-1.93774, 52)  (-1.93774, 54)  (-1.93774, 56)  (-1.93774, 58)  (-1.93774, 58)  (-1.93774, 60)  (-1.93774, 61)  (-1.93774, 63)  (-1.93774, 63)  
t = 1
CFR  (11.1822, 33)  (11.2697, 59)  (13.394, 43)  (13.394, 42)  (11.1822, 36)  (13.394, 44)  (13.3954, 45)  (13.394, 42)  (11.2697, 64)  (11.2697, 67)  (13.394, 48)  
CFR_EX+IN  (11.2697, 38)  (11.357, 67)  (13.4815, 51)  (13.4815, 49)  (11.2697, 43)  (13.4815, 50)  (13.4835, 52)  (13.4815, 49)  (11.357, 71)  (11.357, 73)  (13.4815, 53)  
CFR_IN  (13.394, 37)  (13.4815, 64)  (15.6667, 50)  (15.6667, 47)  (13.394, 43)  (15.6667, 49)  (15.6721, 51)  (15.6667, 49)  (13.4815, 71)  (13.4815, 71)  (15.6667, 51)  
A-EFR_IN  (13.394, 56)  (13.4815, 62)  (15.6667, 47)  (15.6667, 45)  (13.394, 39)  (15.6667, 47)  (15.6721, 48)  (15.6667, 46)  (13.4815, 67)  (13.4815, 71)  (15.6667, 49)  
BPS-EFR  (11.1822, 35)  (11.2697, 56)  (13.394, 43)  (13.394, 40)  (11.1822, 34)  (13.394, 41)  (13.3954, 44)  (13.394, 43)  (11.2697, 64)  (11.2697, 64)  (13.394, 45)  
