learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (-12.3294, 259.5)  (-12.3294, 82)  (-12.3294, 80)  (-12.3294, 84)  (-12.3294, 88)  (-12.3294, 83)  (-12.3294, 82)  (-12.3294, 84)  (-12.3294, 82)  (-12.3294, 83)  (-12.3294, 83)  
CFR_EX+IN  (-12.3294, 214)  (-12.3294, 164)  (-12.3294, 94)  (-12.3294, 93)  (-12.3294, 98)  (-12.3294, 93)  (-12.3294, 109)  (-12.3294, 92)  (-12.3294, 92)  (-12.3294, 95)  (-12.3294, 91)  
CFR_IN  (-12.3294, 211)  (-12.3294, 237)  (-12.3294, 160.5)  (-12.3294, 91)  (-12.3294, 96)  (-12.3294, 90)  (-12.3294, 89)  (-12.3294, 90)  (-12.3294, 87)  (-12.3294, 84)  (-12.3294, 82)  
A-EFR_IN  (-12.3294, 229)  (-12.3294, 234)  (-12.3294, 223)  (-12.3294, 144)  (-12.3294, 87)  (-12.3294, 83)  (-12.3294, 85)  (-12.3294, 79)  (-12.3294, 84)  (-12.3294, 82)  (-12.3294, 80)  
BPS-EFR  (-12.3294, 225)  (-12.3294, 228)  (-12.3294, 212)  (-12.3294, 201)  (-12.3294, 138)  (-12.3294, 75)  (-12.3294, 73)  (-12.3294, 72)  (-12.3294, 73)  (-12.3294, 71)  (-12.3294, 73)  
TIPS-EFR  (-12.3294, 236)  (-12.3294, 237)  (-12.3294, 223)  (-12.3294, 206)  (-12.3294, 211)  (-12.3294, 144)  (-12.3294, 82)  (-12.3294, 81)  (-12.3294, 85)  (-12.3294, 82)  (-12.3294, 82)  
CSPS-EFR  (-12.3294, 236)  (-12.3294, 236)  (-12.3294, 219)  (-12.3294, 210)  (-12.3294, 206)  (-12.3294, 204)  (-12.3294, 142)  (-12.3294, 82)  (-12.3294, 90)  (-12.3294, 92)  (-12.3294, 92)  
CFPS-EFR  (-12.3294, 236)  (-12.3294, 227)  (-12.3294, 219)  (-12.3294, 204)  (-12.3294, 203)  (-12.3294, 203)  (-12.3294, 203)  (-12.3294, 156)  (-12.3294, 89)  (-12.3294, 92)  (-12.3294, 92)  
CFPS-EFR_EX+IN  (-12.3294, 237)  (-12.3294, 235)  (-12.3294, 209)  (-12.3294, 211)  (-12.3294, 207)  (-12.3294, 206)  (-12.3294, 222)  (-12.3294, 224)  (-12.3294, 167.5)  (-12.3294, 91)  (-12.3294, 90)  
TIPS-EFR_EX+IN  (-12.3294, 236)  (-12.3294, 262)  (-12.3294, 211)  (-12.3294, 209)  (-12.3294, 208)  (-12.3294, 207)  (-12.3294, 237)  (-12.3294, 242)  (-12.3294, 220)  (-12.3294, 163)  (-12.3294, 96)  
BEHAV-EFR  (-12.3294, 235)  (-12.3294, 228)  (-12.3294, 209)  (-12.3294, 210)  (-12.3294, 203)  (-12.3294, 206)  (-12.3294, 238)  (-12.3294, 241)  (-12.3294, 221)  (-12.3294, 238)  (-12.3294, 167)  
t = 1
CFR  (11.1822, 27)  (11.2697, 50)  (13.394, 36)  (13.394, 39)  (11.1822, 31)  (13.394, 39)  (13.3954, 41)  (13.394, 38)  (11.2697, 55)  (11.2697, 56)  (13.394, 40)  
