learner/env  CFR  CFR_EX+IN  CFR_IN  A-EFR_IN  BPS-EFR  TIPS-EFR  CSPS-EFR  CFPS-EFR  CFPS-EFR_EX+IN  TIPS-EFR_EX+IN  BEHAV-EFR  
t = 0
CFR  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  
CFR_EX+IN  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  
CFR_IN  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  
A-EFR_IN  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  
BPS-EFR  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  
TIPS-EFR  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  
CSPS-EFR  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  
CFPS-EFR  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  
CFPS-EFR_EX+IN  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  
TIPS-EFR_EX+IN  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  
BEHAV-EFR  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  (3.72222, 0)  
BR  (5.66667, 0)  (5.66667, 0)  (5.66667, 0)  (5.66667, 0)  (5.66667, 0)  (5.66667, 0)  (5.66667, 0)  (5.66667, 0)  (5.66667, 0)  (5.66667, 0)  (5.66667, 0)  
t = 1
CFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
CFR_EX+IN  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
CFR_IN  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
A-EFR_IN  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
BPS-EFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
TIPS-EFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
CSPS-EFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
CFPS-EFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
CFPS-EFR_EX+IN  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
TIPS-EFR_EX+IN  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
BEHAV-EFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
BR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
t = 2
CFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
CFR_EX+IN  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
CFR_IN  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
A-EFR_IN  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
BPS-EFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
TIPS-EFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
CSPS-EFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
CFPS-EFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
CFPS-EFR_EX+IN  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
TIPS-EFR_EX+IN  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
BEHAV-EFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
BR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
t = 3
CFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
CFR_EX+IN  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
CFR_IN  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
A-EFR_IN  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
BPS-EFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
TIPS-EFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
CSPS-EFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
CFPS-EFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
CFPS-EFR_EX+IN  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
TIPS-EFR_EX+IN  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
BEHAV-EFR  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  (8, 0)  
BR  (8, 0)  (8, 0)  (8.84287, 0)  (8.84287, 0)  (8, 0)  (8.84287, 0)  (8.84287, 0)  (8.84287, 0)  (8, 0)  (8, 0)  (8.84287, 0)  
t = 4
CFR  (8, 0)  (8, 0)  (8.05833, 0)  (8.05833, 0)  (8, 0)  (8.05833, 0)  (8.05833, 0)  (8.05833, 0)  (8, 0)  (8, 0)  (8.05833, 0)  
CFR_EX+IN  (8, 0)  (8, 0)  (8.08333, 0)  (8.08333, 0)  (8, 0)  (8.08333, 0)  (8.08333, 0)  (8.08333, 0)  (8, 0)  (8, 0)  (8.08333, 0)  
CFR_IN  (8, 0)  (8, 0)  (8.33333, 0)  (8.33333, 0)  (8, 0)  (8.33333, 0)  (8.33333, 0)  (8.33333, 0)  (8, 0)  (8, 0)  (8.33333, 0)  
A-EFR_IN  (8, 0)  (8, 0)  (8.33333, 0)  (8.33333, 0)  (8, 0)  (8.33333, 0)  (8.33333, 0)  (8.33333, 0)  (8, 0)  (8, 0)  (8.33333, 0)  
BPS-EFR  (8, 0)  (8, 0)  (8.05833, 0)  (8.05833, 0)  (8, 0)  (8.05833, 0)  (8.05833, 0)  (8.05833, 0)  (8, 0)  (8, 0)  (8.05833, 0)  
TIPS-EFR  (8, 0)  (8, 0)  (8.33333, 0)  (8.33333, 0)  (8, 0)  (8.33333, 0)  (8.33333, 0)  (8.33333, 0)  (8, 0)  (8, 0)  (8.33333, 0)  
CSPS-EFR  (8, 0)  (8, 0)  (8.33333, 0)  (8.33333, 0)  (8, 0)  (8.33333, 0)  (8.33333, 0)  (8.33333, 0)  (8, 0)  (8, 0)  (8.33333, 0)  
CFPS-EFR  (8, 0)  (8, 0)  (8.33333, 0)  (8.33333, 0)  (8, 0)  (8.33333, 0)  (8.33333, 0)  (8.33333, 0)  (8, 0)  (8, 0)  (8.33333, 0)  
CFPS-EFR_EX+IN  (8, 0)  (8, 0)  (8.08333, 0)  (8.08333, 0)  (8, 0)  (8.08333, 0)  (8.08333, 0)  (8.08333, 0)  (8, 0)  (8, 0)  (8.08333, 0)  
TIPS-EFR_EX+IN  (8, 0)  (8, 0)  (8.08333, 0)  (8.08333, 0)  (8, 0)  (8.08333, 0)  (8.08333, 0)  (8.08333, 0)  (8, 0)  (8, 0)  (8.08333, 0)  
BEHAV-EFR  (8, 0)  (8, 0)  (8.33333, 0)  (8.33333, 0)  (8, 0)  (8.33333, 0)  (8.33333, 0)  (8.33333, 0)  (8, 0)  (8, 0)  (8.33333, 0)  
BR  (8, 0)  (8, 0)  (9.00953, 0)  (9.00953, 0)  (8, 0)  (9.00953, 0)  (9.00953, 0)  (9.00953, 0)  (8, 0)  (8, 0)  (9.00953, 0)  
t = 5
CFR  (8, 0)  (8, 0)  (8.83721, 0)  (8.83721, 0)  (8, 0)  (8.83721, 0)  (8.83721, 0)  (8.83721, 0)  (8, 0)  (8, 0)  (8.83721, 0)  
CFR_EX+IN  (8, 0)  (8, 0)  (8.89286, 0)  (8.89286, 0)  (8, 0)  (8.89286, 0)  (8.89286, 0)  (8.89286, 0)  (8, 0)  (8, 0)  (8.89286, 0)  
CFR_IN  (8, 0)  (8, 0)  (9, 0)  (9, 0)  (8, 0)  (9, 0)  (9, 0)  (9, 0)  (8, 0)  (8, 0)  (9, 0)  
A-EFR_IN  (8, 0)  (8, 0)  (9, 0)  (9, 0)  (8, 0)  (9, 0)  (9, 0)  (9, 0)  (8, 0)  (8, 0)  (9, 0)  
BPS-EFR  (8, 0)  (8, 0)  (8.83721, 0)  (8.83721, 0)  (8, 0)  (8.83721, 0)  (8.83721, 0)  (8.83721, 0)  (8, 0)  (8, 0)  (8.83721, 0)  
TIPS-EFR  (8, 0)  (8, 0)  (9, 0)  (9, 0)  (8, 0)  (9, 0)  (9, 0)  (9, 0)  (8, 0)  (8, 0)  (9, 0)  
CSPS-EFR  (8, 0)  (8, 0)  (9, 0)  (9, 0)  (8, 0)  (9, 0)  (9, 0)  (9, 0)  (8, 0)  (8, 0)  (9, 0)  
CFPS-EFR  (8, 0)  (8, 0)  (9, 0)  (9, 0)  (8, 0)  (9, 0)  (9, 0)  (9, 0)  (8, 0)  (8, 0)  (9, 0)  
CFPS-EFR_EX+IN  (8, 0)  (8, 0)  (8.89286, 0)  (8.89286, 0)  (8, 0)  (8.89286, 0)  (8.89286, 0)  (8.89286, 0)  (8, 0)  (8, 0)  (8.89286, 0)  
TIPS-EFR_EX+IN  (8, 0)  (8, 0)  (8.89286, 0)  (8.89286, 0)  (8, 0)  (8.89286, 0)  (8.89286, 0)  (8.89286, 0)  (8, 0)  (8, 0)  (8.89286, 0)  
BEHAV-EFR  (8, 0)  (8, 0)  (9, 0)  (9, 0)  (8, 0)  (9, 0)  (9, 0)  (9, 0)  (8, 0)  (8, 0)  (9, 0)  
BR  (8, 0)  (8, 0)  (9.34287, 0)  (9.34287, 0)  (8, 0)  (9.34287, 0)  (9.34287, 0)  (9.34287, 0)  (8, 0)  (8, 0)  (9.34287, 0)  
t = 6
CFR  (8, 0)  (8, 0)  (9, 0)  (9, 0)  (8, 0)  (9, 0)  (9, 0)  (9, 0)  (8, 0)  (8, 0)  (9, 0)  
CFR_EX+IN  (8, 0)  (8, 0)  (9, 0)  (9, 0)  (8, 0)  (9, 0)  (9, 0)  (9, 0)  (8, 0)  (8, 0)  (9, 0)  
CFR_IN  (8, 0)  (8, 0)  (9, 0)  (9, 0)  (8, 0)  (9, 0)  (9, 0)  (9, 0)  (8, 0)  (8, 0)  (9, 0)  
A-EFR_IN  (8, 0)  (8, 0)  (9, 0)  (9, 0)  (8, 0)  (9, 0)  (9, 0)  (9, 0)  (8, 0)  (8, 0)  (9, 0)  
BPS-EFR  (8, 0)  (8, 0)  (9, 0)  (9, 0)  (8, 0)  (9, 0)  (9, 0)  (9, 0)  (8, 0)  (8, 0)  (9, 0)  
TIPS-EFR  (8, 0)  (8, 0)  (9, 0)  (9, 0)  (8, 0)  (9, 0)  (9, 0)  (9, 0)  (8, 0)  (8, 0)  (9, 0)  
CSPS-EFR  (8, 0)  (8, 0)  (9, 0)  (9, 0)  (8, 0)  (9, 0)  (9, 0)  (9, 0)  (8, 0)  (8, 0)  (9, 0)  
CFPS-EFR  (8, 0)  (8, 0)  (9, 0)  (9, 0)  (8, 0)  (9, 0)  (9, 0)  (9, 0)  (8, 0)  (8, 0)  (9, 0)  
