learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -9.40545e-19  -0.00330516  0.466644  0.680678  0.971547  0.962764  0.0891316  0.0642158  0.220144  0.582851  
CFR+  0.52626  -4.0766e-19  0.690098  0.681587  0.973483  0.96066  0.361024  0.0373961  0.460916  0.643512  
A-CFR  0.105408  0.0368641  8.1532e-19  0.678382  0.964725  0.962548  0.133957  0.0638631  0.0947677  0.481833  
A-CFR+  0.464555  0.122377  0.507197  1.00162e-19  0.967043  0.960564  0.441501  0.0731005  0.413044  0.661238  
PGPI(10000/U)  0.0105616  0.0438714  -0.00800133  0.0251526  -5.55104e-19  0.849874  0.115667  0.109411  0.102171  0.107999  
PI  0.850354  0.470797  0.868371  0.75487  0.984082  0  0.838146  0.433133  0.769354  0.817742  
CFR_IN  0.195701  0.0282564  0.538307  0.704879  0.972536  0.979525  1.1117e-16  0.052439  0.302274  0.573852  
CFR+_IN  0.643943  0.0928079  0.720136  0.712025  0.97252  0.979196  0.440358  1.82259e-16  0.51345  0.641787  
A-CFR_IN  0.183902  0.00883769  0.412063  0.691502  0.970597  0.979473  0.165617  0.046752  1.37618e-06  0.549213  
A-CFR+_IN  0.544401  0.145606  0.612392  0.697733  0.970627  0.979063  0.458502  0.0909302  0.51874  1.30309e-09  
BR  0.906274  0.558614  0.953053  0.797395  0.99775  0.99775  0.93665  0.565617  0.914897  0.921801  
