learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -9.40545e-19  0.0321724  0.519505  0.694242  0.96987  0.966431  0.109411  0.0521755  0.2627  0.57322  
CFR+  -0.00125042  -4.0766e-19  0.382003  0.651171  0.96303  0.964615  0.0252614  0.0349894  0.125214  0.489349  
A-CFR  -0.0683838  -0.0207549  8.1532e-19  0.693138  0.969871  0.966431  0.0828635  -0.00109727  0.254377  0.571994  
A-CFR+  -0.0320996  -0.00910217  0.30685  1.00162e-19  0.963237  0.964195  0.0135185  0.0149237  0.0918537  0.408348  
PGPI(10000/U)  -0.131204  -0.0780527  0.187496  0.692434  -5.55104e-19  0.966944  0.0716972  -0.083334  0.0245034  0.511959  
PI  0.0188527  -0.0369295  0.139768  0.638777  0.960549  0  -0.0176541  -0.0336955  0.00757273  0.405502  
CFR_IN  0.0666125  0.0112644  0.495525  0.691923  0.968279  0.966944  1.1117e-16  0.047733  0.280784  0.5703  
CFR+_IN  -0.0265858  -0.0198981  0.348016  0.632186  0.959475  0.964726  -0.0173409  1.82259e-16  0.0927869  0.458879  
A-CFR_IN  -0.0370689  -0.0105027  0.465075  0.692923  0.968279  0.966944  0.0312758  0.0395026  1.37618e-06  0.560766  
A-CFR+_IN  -0.0813207  -0.0324372  0.204414  0.58353  0.963713  0.964572  -0.0269012  -0.00959019  -0.000484817  1.30309e-09  
BR  0.906274  0.558614  0.953053  0.797395  0.99775  0.99775  0.93665  0.565617  0.914897  0.921801  
