learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -4.64846e-19  -0.0346701  -0.00764043  -0.0296814  0.969723  -0.249606  -0.0336651  -0.0563707  -0.0504115  -0.0363402  
CFR+  0.0346701  7.04992e-19  0.0351824  -0.00179446  0.972637  -0.218225  0.0265193  -0.00721263  0.0410045  -0.00684369  
A-CFR  0.00764043  -0.0351824  1.74912e-18  -0.0275935  0.960432  -0.238939  -0.0144428  -0.0799006  -0.0414124  -0.0369403  
A-CFR+  0.0296814  0.00179446  0.0275935  4.4245e-20  0.964731  -0.242856  0.0192047  -0.024897  0.0267712  -0.025977  
PGPI(10000/U)  -0.969723  -0.972637  -0.960432  -0.964731  -1.52626e-20  -0.984082  -0.972541  -0.972543  -0.970597  -0.970627  
PI  0.249606  0.218225  0.238939  0.242856  0.984082  0  0.278412  0.259102  0.286389  0.275196  
CFR_IN  0.0336651  -0.0265193  0.0144163  -0.0192047  0.972541  -0.278412  1.59873e-16  -0.0402236  0.0686686  -0.0380613  
CFR+_IN  0.0563707  0.00721264  0.0798876  0.024897  0.972543  -0.259102  0.0402237  1.86754e-16  0.0672835  0.0150359  
A-CFR_IN  0.0504115  -0.0410045  0.041412  -0.0267729  0.970597  -0.286389  -0.0686686  -0.0672831  2.33951e-07  -0.0731194  
A-CFR+_IN  0.0363401  0.00684446  0.0369404  0.025977  0.970627  -0.275196  0.0380488  -0.0150359  0.0731194  2.21525e-10  
