learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -3.4917e-17  0.000117798  4.11721e-05  0.00012626  0.305457  0.393823  2.68414e-16  0.000132171  1.16886e-05  0.000146946  
CFR+  0.0918192  -1.71805e-17  0.0886758  9.21301e-06  0.305474  0.386311  0.0974243  1.76071e-16  0.117288  1.00339e-05  
A-CFR  4.15401e-06  7.92659e-05  -3.41552e-17  8.66402e-05  0.30544  0.393839  -1.00487e-05  9.63826e-05  2.65196e-16  0.000108702  
A-CFR+  0.0922302  -8.16015e-06  0.0880926  -2.37197e-17  0.305468  0.386363  0.0985492  -1.15623e-05  0.117907  1.8174e-16  
PGPI(10000/U)  -0.124411  -0.112949  -0.110411  -0.115756  1.15219e-16  0.30105  -0.124094  -0.1107  -0.118051  -0.113217  
PI  0.117176  0.00752006  0.117794  0.00684862  0.305505  2.42215e-17  0.126371  0.00863364  0.150688  0.00751209  
CFR_IN  -5.83688e-17  0.000117798  4.11721e-05  0.00012626  0.305457  0.393823  1.93497e-16  0.000132171  1.16886e-05  0.000146946  
CFR+_IN  0.0918192  -7.91501e-17  0.0886758  9.21301e-06  0.305474  0.386311  0.0974243  9.86327e-17  0.117288  1.00339e-05  
A-CFR_IN  4.15401e-06  7.92659e-05  -7.3173e-17  8.66402e-05  0.30544  0.393839  -1.00487e-05  9.63826e-05  2.03093e-16  0.000108702  
A-CFR+_IN  0.0922302  -8.16015e-06  0.0880926  -6.4747e-17  0.305468  0.386363  0.0985492  -1.15623e-05  0.117907  1.08747e-16  
BR  0.117483  0.0080749  0.118115  0.00741964  0.305591  0.692444  0.126599  0.00912043  0.15093  0.00798368  
