learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(0.1/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -3.4917e-17  0.000216601  0.0582555  0.0547716  0.199142  0.393893  0.000204298  0.000187896  0.0600029  0.0554424  
CFR+  -0.00114506  -1.71805e-17  0.0570306  0.0543764  0.19785  0.3873  -0.000989395  4.38114e-06  0.0587678  0.0550644  
A-CFR  -0.000998247  -0.00868383  1.96268e-17  -0.000767682  0.152245  0.337875  -0.0244064  -0.00738047  -0.0163071  -0.000754622  
A-CFR+  -0.00262108  -0.00887181  -0.00664329  2.40294e-17  0.151046  0.330364  -0.0256294  -0.00758084  -0.0173557  -0.00100718  
PGPI(0.1/U)  -0.0645578  -0.0562021  -0.0779335  -0.0751451  2.95826e-17  0.223051  -0.0652344  -0.05581  -0.0803616  -0.0749307  
PI  -0.0509634  -0.0021397  -0.0144134  0.0451689  0.174813  2.42215e-17  -0.0172071  -0.0013475  0.031358  0.0510113  
CFR_IN  0.000164808  0.000216601  0.0582555  0.0547716  0.199142  0.393893  1.93497e-16  0.000187896  0.0599965  0.0554424  
CFR+_IN  -0.00114506  2.70554e-05  0.0570306  0.0543764  0.19785  0.3873  -0.00098955  9.86327e-17  0.0587635  0.0550644  
A-CFR_IN  -0.000998247  -0.00868383  -0.00552245  -0.000767682  0.152245  0.337875  -0.0244064  -0.00738047  1.89801e-16  -0.000754622  
A-CFR+_IN  -0.00262108  -0.00887181  -0.00664329  -0.0010136  0.151046  0.330364  -0.0256294  -0.00758084  -0.0173554  9.06367e-17  
BR  0.117483  0.0080749  0.196108  0.107031  0.232868  0.692444  0.126599  0.00912043  0.19917  0.107251  
