learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -3.4917e-17  0.000192503  5.76625e-06  0.000176927  0.305453  0.394015  7.69018e-05  0.000212274  0.000341541  0.000211225  
CFR+  -0.00118615  -1.71805e-17  -0.00168631  5.38317e-06  0.305437  0.387109  -0.00139153  -7.88418e-06  -0.00204074  2.34026e-05  
A-CFR  -0.000934876  0.000199635  -3.41552e-17  0.00018532  0.305453  0.333453  7.73295e-05  0.000212767  0.000268319  0.000211131  
A-CFR+  -0.00119537  -9.00199e-06  -0.00170492  -2.37197e-17  0.305433  0.372908  -0.00138662  -1.33385e-05  -0.00205318  1.52252e-05  
PGPI(10000/U)  -0.0246448  -0.00863653  -0.00858245  -0.0108472  1.15219e-16  0.116247  -0.0129164  -0.00745759  -0.0230304  -0.0105792  
PI  -0.0507817  -0.00221031  -0.0435828  -0.00221028  0.305456  2.42215e-17  -0.0158683  -0.00141138  -0.0191552  -0.00126139  
CFR_IN  0.000219001  0.000192503  5.76625e-06  0.000176927  0.305453  0.394015  1.93497e-16  0.000212274  0.000344345  0.000211225  
CFR+_IN  -0.00118615  -2.65081e-06  -0.00168631  5.38317e-06  0.305437  0.387109  -0.00139153  9.86327e-17  -0.00204074  2.34026e-05  
A-CFR_IN  0.000217472  0.000192058  6.55334e-06  0.000177237  0.305453  0.371576  7.73932e-05  0.000212767  2.03093e-16  0.000211131  
A-CFR+_IN  -0.0011951  -9.00833e-06  -0.00170463  1.0045e-06  0.305433  0.387023  -0.00139465  -1.33385e-05  -0.0020528  1.08747e-16  
BR  0.117483  0.0080749  0.118115  0.00741964  0.305591  0.692444  0.126599  0.00912043  0.15093  0.00798368  
