learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -3.68741e-17  0.000241511  0.000573326  0.000278688  0.30546  -0.000900636  -0.000283041  0.000232902  0.000304105  0.000201683  
CFR+  0.00108335  -1.7023e-17  0.000948534  2.85095e-05  0.305476  -0.00326593  0.00158733  4.77744e-05  0.000982125  8.29412e-05  
A-CFR  -1.97092e-05  0.000188084  -3.53808e-17  0.000129277  0.305443  -0.000854495  -9.95508e-05  0.000281861  0.000826653  0.000212817  
A-CFR+  0.00199704  -2.24254e-05  0.00160642  -2.44886e-17  0.30547  -0.00320423  0.0011973  -1.79518e-05  0.000727708  -8.02722e-06  
PGPI(10000/U)  -0.277689  -0.277705  -0.277673  -0.2777  1.14844e-16  -0.416601  -0.277689  -0.277705  -0.277673  -0.2777  
PI  0.00261476  0.00510169  0.00263796  0.00511232  0.305505  2.42884e-17  0.00208862  0.00418004  0.00315417  0.00422998  
CFR_IN  0.000951131  9.18279e-05  0.000568304  0.000140202  0.30546  0.000271393  1.97141e-16  0.000141518  0.000883648  0.000173046  
CFR+_IN  0.00144327  -7.23992e-06  0.00127815  0.00015581  0.305476  -0.00306757  0.00147612  9.94517e-17  0.00138705  -9.36278e-07  
A-CFR_IN  -1.64774e-05  0.000414234  -7.62511e-05  0.00018278  0.305443  1.28527e-05  3.86679e-05  0.000215448  2.05379e-16  0.000251559  
A-CFR+_IN  0.00184615  -2.59575e-05  0.0013933  0.000101621  0.30547  -0.0031497  0.00155726  -1.63942e-05  0.00160819  1.09088e-16  
