learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -1.90993e-18  0.00937331  0.56857  0.594109  2.17632  1.7508  0.00777699  0.013888  0.485093  0.0297822  
CFR+  0.889625  1.83534e-18  1.06718  0.622754  2.44932  1.64348  0.80857  0.00422068  0.841705  0.0551748  
A-CFR  0.0249788  -0.00449483  -5.79398e-19  0.232764  1.72964  1.5052  0.0186543  0.000121941  0.0373603  0.00516249  
A-CFR+  0.779025  0.00387127  0.692056  -6.07153e-20  2.00612  1.45613  0.699144  0.00518333  0.584081  0.0263199  
PGPI(10000/U)  -0.118749  -0.0659382  -0.0583948  0.135409  -2.00118e-17  1.23596  -0.106202  -0.108021  0.0810605  -0.076883  
PI  1.28206  0.283129  1.25948  0.798526  2.47341  0  1.24847  0.314704  0.990328  0.407011  
CFR_IN  0.00266867  0.00765639  0.573042  0.590408  2.18806  1.75161  4.04923e-17  0.0112065  0.485666  0.0318887  
CFR+_IN  0.918597  -0.00155865  1.0807  0.622827  2.44822  1.63848  0.85192  3.78864e-17  0.85031  0.0563117  
A-CFR_IN  0.0263584  -0.00765739  0.200481  0.391261  1.8189  1.4961  0.021443  0.00898953  3.84762e-17  0.0147982  
A-CFR+_IN  0.773117  0.00357151  0.720821  0.5781  2.14391  1.5239  0.711683  0.00447166  0.554203  3.3501e-17  
BR  1.32557  0.347403  1.30758  0.853666  2.48966  3.14389  1.29646  0.378623  1.02976  0.477513  
