learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(0.1/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -1.90993e-18  0.0152755  1.68447  1.36755  2.35713  1.74589  0.0167233  0.0229362  1.54914  2.03167  
CFR+  -0.0337723  1.83534e-18  1.67444  1.35759  2.3572  1.62983  -0.0302134  0.00624257  1.53146  2.01141  
A-CFR  -0.0260759  -0.0872515  -3.95517e-19  0.56192  2.2074  1.18723  -0.0142657  -0.0101423  0.798689  0.563943  
A-CFR+  -0.0393034  -0.0837013  0.733947  1.11022e-19  2.24887  1.04263  -0.0541175  -0.016455  0.787606  0.688584  
PGPI(0.1/U)  -0.769866  -0.754669  -1.1557  -0.806743  1.249e-18  -0.940222  -0.796712  -0.768371  -0.662058  -1.11383  
PI  -0.344499  -0.103797  1.64184  1.33906  2.358  0  -0.250046  -0.0803099  1.35275  1.93963  
CFR_IN  0.01022  0.0159996  1.68517  1.36821  2.35745  1.74294  4.04923e-17  0.022851  1.54875  2.03202  
CFR+_IN  -0.0382327  0.000172197  1.67414  1.35745  2.35753  1.62192  -0.0333983  3.78864e-17  1.53  2.00987  
A-CFR_IN  -0.0381609  -0.0891201  0.745695  0.469907  2.20305  1.03397  -0.0242374  -0.0103646  6.55032e-17  0.476861  
A-CFR+_IN  -0.0971998  -0.0955949  0.73485  0.558615  2.20516  1.00723  -0.0644324  -0.0186041  0.789699  7.93711e-07  
BR  1.32557  0.347403  1.76323  1.39958  2.36275  3.14389  1.29646  0.378623  1.67777  2.11251  
