learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -1.90993e-18  0.0177234  0.579989  0.60873  2.1857  1.74041  0.0239517  0.0227497  0.502077  0.0375676  
CFR+  -0.0205621  1.83534e-18  0.509583  0.585728  2.11082  1.63688  -0.0185769  0.00636812  0.443531  0.0180946  
A-CFR  -0.00936254  0.0179926  -5.79398e-19  0.603164  2.18567  1.59726  0.0168251  0.0219142  0.501513  0.0261919  
A-CFR+  -0.0220197  0.00144833  0.503889  -6.07153e-20  1.77408  1.60118  -0.0231818  0.00593044  0.39872  0.0129146  
PGPI(10000/U)  -0.0162383  0.00687548  0.126932  0.2302  -2.00118e-17  1.27513  0.00667041  0.00436933  0.236478  0.0109098  
PI  -0.390951  -0.105596  0.0242032  0.456925  1.84319  0  -0.287537  -0.0966169  0.0454893  -0.0875736  
CFR_IN  0.0142592  0.0188445  0.57955  0.608383  2.18649  1.73996  4.04923e-17  0.0229128  0.500448  0.0368564  
CFR+_IN  -0.0236695  0.00209289  0.50084  0.580047  2.10539  1.62942  -0.0209923  3.78864e-17  0.437013  0.0156493  
A-CFR_IN  -0.00154766  0.0165737  0.565155  0.431094  2.18609  1.59554  0.00718623  0.0205202  3.84762e-17  0.0329518  
A-CFR+_IN  -0.0287078  0.000332722  0.493721  0.556945  1.74835  1.59322  -0.0233315  0.00358495  0.406283  3.3501e-17  
BR  1.32557  0.347403  1.30758  0.853666  2.48966  3.14389  1.29646  0.378623  1.02976  0.477513  
