learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  -2.40827e-18  -0.0202006  0.0570703  -0.0107033  0.577872  -0.107486  -0.00172663  -0.0192962  0.0762911  -0.0176628  
CFR+  0.0202006  3.06345e-19  0.0546894  0.00600958  0.468087  -0.114181  0.0205604  0.0014555  0.091397  0.00768609  
A-CFR  -0.0570703  -0.0546894  9.50191e-19  -0.0483295  0.344584  -0.10908  -0.062999  -0.0522292  -0.0059407  -0.0355627  
A-CFR+  0.0107033  -0.00600958  0.0483295  1.85718e-18  0.48699  -0.116377  -0.00839068  -0.00518481  0.0417071  -5.50336e-05  
PGPI(10000/U)  -0.577872  -0.468087  -0.344584  -0.48699  -2.70827e-17  -0.663552  -0.44119  -0.710565  -0.421908  -0.660558  
PI  0.107486  0.114181  0.10908  0.116377  0.663552  0  0.1134  0.126549  0.123404  0.131933  
CFR_IN  0.00172663  -0.0205604  0.062999  0.00839068  0.44119  -0.1134  4.44484e-17  -0.0231757  0.0629564  0.00153771  
CFR+_IN  0.0192962  -0.0014555  0.0522292  0.00518481  0.710565  -0.126549  0.0231757  3.53336e-17  0.0921037  0.00589644  
A-CFR_IN  -0.0762911  -0.091397  0.0059407  -0.0417071  0.421908  -0.123404  -0.0629564  -0.0921037  3.56743e-17  -0.0615912  
A-CFR+_IN  0.0176628  -0.00768609  0.0355627  5.50336e-05  0.660558  -0.131933  -0.00153771  -0.00589644  0.0615912  3.30161e-17  
