learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  8.76035e-19  0.00377458  0.461618  0.368605  0.806422  0.514739  0.0148424  0.01244  0.634707  0.439014  
CFR+  0.36946  2.64545e-19  0.571307  0.378226  0.80824  0.484758  0.330175  0.0103107  0.684293  0.466858  
A-CFR  0.0264493  0.00314512  -9.77544e-19  0.000517034  0.80508  0.516522  0.0300735  0.0161771  0.179819  0.175456  
A-CFR+  0.342751  0.0480042  0.321545  4.53197e-19  0.806797  0.486717  0.355572  0.0711117  0.238851  0.213334  
PGPI(10000/U)  -0.0246681  -0.0182698  -0.230383  -0.221893  -2.806e-20  0.357914  -0.0527225  -0.0417841  -0.0684402  -0.233328  
PI  0.601337  0.268955  0.664264  0.479235  0.816435  0  0.648796  0.282232  0.765719  0.578678  
CFR_IN  0.0627762  0.0292055  0.50458  0.393179  0.806564  0.514378  -2.18361e-05  0.00774831  0.635745  0.444988  
CFR+_IN  0.430829  0.0289375  0.608664  0.402233  0.808224  0.480299  0.376344  -3.76427e-06  0.701774  0.473452  
A-CFR_IN  0.0702395  0.0285924  0.410622  0.299717  0.74096  0.487835  0.0352404  0.0236939  -1.57924e-05  0.0547392  
A-CFR+_IN  0.386236  0.067805  0.503049  0.252461  0.74102  0.45678  0.40429  0.0689848  0.320121  -2.52178e-06  
BR  0.650191  0.323581  0.700286  0.513538  0.82618  0.9675  0.724446  0.360319  0.809929  0.632393  
