learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(0.1/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  8.76035e-19  0.0110486  0.477001  0.441815  0.697943  0.544297  0.0353667  0.0195096  0.362633  0.461049  
CFR+  -0.00170877  2.64545e-19  0.454989  0.423668  0.697948  0.492239  -0.00329128  0.0109275  0.348901  0.437711  
A-CFR  -0.0415191  -0.0528368  4.85723e-19  0.329901  0.614293  0.489749  -0.0209927  -0.0960619  0.306713  0.390131  
A-CFR+  -0.0804471  -0.0704716  0.386693  -1.97325e-19  0.632713  0.43641  -0.083247  -0.112198  0.299132  0.333008  
PGPI(0.1/U)  -0.471875  -0.497839  -0.425792  -0.471046  -1.51788e-19  -0.200239  -0.497307  -0.497829  -0.405316  -0.483545  
PI  -0.164109  -0.0326573  0.364482  0.384739  0.699604  0  -0.17278  -0.0318184  0.296403  0.409734  
CFR_IN  0.0278213  0.00900654  0.475115  0.443431  0.698107  0.530647  -2.18361e-05  0.0172797  0.361551  0.46103  
CFR+_IN  -0.00950585  -0.00652192  0.445654  0.418521  0.69812  0.480818  -0.008288  -3.76427e-06  0.341793  0.433441  
A-CFR_IN  -0.0727796  -0.0635749  0.399851  0.331666  0.566036  0.481602  -0.0582424  -0.101364  4.71275e-18  0.351825  
A-CFR+_IN  -0.129339  -0.0944724  0.339204  0.297945  0.621956  0.355404  -0.188269  -0.134856  0.307107  4.41281e-18  
BR  0.650191  0.323581  0.605117  0.530336  0.706722  0.9675  0.724446  0.360319  0.428725  0.582493  
