learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  8.76035e-19  0.00896002  0.479218  0.381489  0.807024  0.539736  0.0279996  0.0189477  0.642418  0.448339  
CFR+  -0.0117971  2.64545e-19  0.436471  0.356515  0.801781  0.498729  -0.00208926  0.00769368  0.624202  0.427418  
A-CFR  0.0249233  0.011554  -9.77544e-19  0.383789  0.807189  0.543867  0.0275008  0.0148157  0.640181  0.449479  
A-CFR+  -0.012317  -0.00188303  0.416394  4.53197e-19  0.801627  0.496574  -0.00906272  0.00561382  0.621076  0.419498  
PGPI(10000/U)  -0.0813297  -0.0928425  0.464599  0.369829  -2.806e-20  0.431887  -0.0430547  -0.0814769  0.618978  0.448144  
PI  -0.0594036  -0.0333473  0.399132  0.345062  0.803676  0  -0.0797556  -0.0372555  0.565427  0.415189  
CFR_IN  0.0253941  0.0106187  0.478358  0.381618  0.807936  0.543796  -2.18361e-05  0.0167536  0.645761  0.453048  
CFR+_IN  -0.0191298  -0.00740518  0.435451  0.355275  0.800262  0.482661  -0.0109309  -3.76427e-06  0.620386  0.423189  
A-CFR_IN  0.0164913  0.00800201  0.487151  0.382846  0.807983  0.557517  0.0187952  0.00833827  -1.57924e-05  0.446777  
A-CFR+_IN  -0.0202484  -0.00649467  0.401428  0.248277  0.799318  0.477656  -0.0166691  0.00170421  0.617714  -2.52178e-06  
BR  0.650191  0.323581  0.700286  0.513538  0.82618  0.9675  0.724446  0.360319  0.809929  0.632393  
