learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  6.50608e-19  -0.0246354  0.00770636  -0.0216429  0.66636  -0.120337  -0.0209033  -0.0365757  -0.00657579  -0.0347663  
CFR+  0.0246354  4.70414e-19  0.0255042  0.000247181  0.836966  -0.110073  0.0218905  -0.00565105  0.0279482  -0.00368363  
A-CFR  -0.00770636  -0.0255042  -1.30672e-18  -0.0155692  0.664212  -0.12054  -0.0697506  -0.0913712  -0.0486787  -0.0507619  
A-CFR+  0.0216429  -0.000247181  0.0155692  3.40808e-19  0.846318  -0.118238  0.00380005  -0.00933346  -0.00102236  -0.0110604  
PGPI(10000/U)  -0.66636  -0.836966  -0.664212  -0.846318  -1.49175e-21  -0.913774  -0.732088  -0.872635  -0.741021  -0.780323  
PI  0.120337  0.110073  0.12054  0.118238  0.913774  0  0.128683  0.124299  0.129186  0.13665  
CFR_IN  0.0209033  -0.021952  0.0697502  -0.00382349  0.732088  -0.128683  -1.00829e-05  -0.0423491  0.0198688  -0.032661  
CFR+_IN  0.0365757  0.00563909  0.0913709  0.00933134  0.872635  -0.124307  0.0423227  -4.23796e-07  0.0424341  0.0057159  
A-CFR_IN  0.0065758  -0.0279902  0.0486481  0.00100474  0.741021  -0.129186  -0.0198813  -0.0424644  -1.44207e-05  -0.0206645  
A-CFR+_IN  0.0347786  0.00367318  0.0507619  0.0110549  0.780323  -0.136651  0.0326227  -0.00572199  0.0206556  -2.2696e-07  
