learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
t = 0
CFR  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
CFR_EX+IN  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
CFR_IN  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
A-CFR_IN  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
BPS-CFR  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
TIPS-CFR  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
CSPS-CFR  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
CFPS-CFR  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
CFPS-CFR_EX+IN  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
TIPS-CFR_EX+IN  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
BR  1.27551  1.27551  1.27551  1.27551  1.27551  1.27551  1.27551  1.27551  1.27551  1.27551  
t = 1
CFR  0.213275  0.212178  0.187118  0.187118  0.213275  0.187118  0.187118  0.187118  0.212178  0.212178  
CFR_EX+IN  0.213597  0.212551  0.189434  0.189434  0.213597  0.189434  0.189434  0.189434  0.212551  0.212551  
CFR_IN  0.203603  0.201691  0.18  0.18  0.203603  0.18  0.18  0.18  0.201691  0.201691  
A-CFR_IN  0.203603  0.201691  0.18  0.18  0.203603  0.18  0.18  0.18  0.201691  0.201691  
BPS-CFR  0.213275  0.212178  0.187118  0.187118  0.213275  0.187118  0.187118  0.187118  0.212178  0.212178  
TIPS-CFR  0.203603  0.201691  0.18  0.18  0.203603  0.18  0.18  0.18  0.201691  0.201691  
CSPS-CFR  0.203603  0.201691  0.18  0.18  0.203603  0.18  0.18  0.18  0.201691  0.201691  
