learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  
t = 0
CFR  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
CFR_EX+IN  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
CFR_IN  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
A-CFR_IN  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
BPS-CFR  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
TIPS-CFR  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
CSPS-CFR  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
CFPS-CFR  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
CFPS-CFR_EX+IN  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
TIPS-CFR_EX+IN  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  -0.141031  
BR  1.13727  1.13727  1.13727  1.13727  1.13727  1.13727  1.13727  1.13727  1.13727  1.13727  
t = 1
CFR  0.0800219  0.0744157  0.0209391  0.0209391  0.0800219  0.0209391  0.0771497  0.0209391  0.0744157  0.0744157  
CFR_EX+IN  0.0832719  0.0776822  0.0245181  0.0245181  0.0832719  0.0245181  0.080408  0.0245181  0.0776822  0.0776822  
