learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
t = 0
CFR  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
CFR_EX+IN  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
CFR_IN  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
A-CFR_IN  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
BPS-CFR  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
TIPS-CFR  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
CSPS-CFR  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
CFPS-CFR  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
CFPS-CFR_EX+IN  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
TIPS-CFR_EX+IN  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
BEHAV-CFR  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  -0.0537938  
t = 1
CFR  0.216381  0.215186  0.180827  0.180827  0.216381  0.180827  0.180829  0.180827  0.215186  0.215186  0.180827  
CFR_EX+IN  0.214264  0.213126  0.179744  0.179744  0.214264  0.179744  0.179745  0.179744  0.213126  0.213126  0.179744  
CFR_IN  0.241669  0.238541  0.2  0.2  0.241669  0.2  0.2  0.2  0.238541  0.238541  0.2  
A-CFR_IN  0.241669  0.238541  0.2  0.2  0.241669  0.2  0.2  0.2  0.238541  0.238541  0.2  
BPS-CFR  0.216381  0.215186  0.180827  0.180827  0.216381  0.180827  0.180829  0.180827  0.215186  0.215186  0.180827  
TIPS-CFR  0.241669  0.238541  0.2  0.2  0.241669  0.2  0.2  0.2  0.238541  0.238541  0.2  
CSPS-CFR  0.24167  0.238541  0.2  0.2  0.24167  0.2  0.2  0.2  0.238541  0.238541  0.2  
CFPS-CFR  0.241669  0.238541  0.2  0.2  0.241669  0.2  0.2  0.2  0.238541  0.238541  0.2  
CFPS-CFR_EX+IN  0.214264  0.213126  0.179744  0.179744  0.214264  0.179744  0.179745  0.179744  0.213126  0.213126  0.179744  
TIPS-CFR_EX+IN  0.214264  0.213126  0.179744  0.179744  0.214264  0.179744  0.179745  0.179744  0.213126  0.213126  0.179744  
BEHAV-CFR  0.241669  0.238541  0.2  0.2  0.241669  0.2  0.2  0.2  0.238541  0.238541  0.2  
t = 2
CFR  1.19614  1.30805  1.33035  0.48348  1.30688  1.38371  1.34115  1.36538  1.40608  1.5431  1.3334  
CFR_EX+IN  1.26813  1.38372  1.39869  0.52224  1.38386  1.4513  1.39839  1.43399  1.48519  1.62645  1.40766  
CFR_IN  0.816154  0.898551  1.63134  0.596906  0.886085  1.70014  1.68197  1.67761  0.964323  1.05862  1.68803  
A-CFR_IN  0.496299  0.552324  0.880607  0.24485  0.545977  0.926069  0.927593  0.911479  0.599727  0.669154  0.918212  
BPS-CFR  1.26449  1.38087  1.41104  0.52162  1.37926  1.46678  1.40786  1.44761  1.48236  1.62402  1.41525  
TIPS-CFR  0.834555  0.917281  1.67036  0.618628  0.905347  1.74005  1.72044  1.71726  0.983765  1.07903  1.72777  
CSPS-CFR  0.67251  0.725658  1.69723  0.621072  0.71646  1.7685  1.75171  1.74516  0.767363  0.827391  1.7551  
CFPS-CFR  0.827839  0.910813  1.65851  0.610937  0.898402  1.72803  1.70896  1.70527  0.977134  1.07218  1.71578  
CFPS-CFR_EX+IN  1.32637  1.44526  1.46898  0.555647  1.44556  1.52354  1.45559  1.50558  1.54963  1.69479  1.47873  
TIPS-CFR_EX+IN  1.40458  1.52769  1.56413  0.600873  1.52842  1.6213  1.53297  1.60247  1.63595  1.78632  1.57492  
BEHAV-CFR  0.827856  0.909376  1.65747  0.613766  0.898058  1.72673  1.70801  1.70407  0.975286  1.06977  1.71457  
t = 3
CFR  0.7469  0.746291  1.39184  0.402741  0.745824  1.45104  0.836859  1.39448  0.670756  0.652367  1.2288  
CFR_EX+IN  0.745272  0.661262  0.984467  0.284736  0.669978  0.81398  0.731204  0.850366  0.631983  0.624481  0.576157  
CFR_IN  0.375619  0.56732  0.613773  0.193978  0.375928  0.631039  0.634668  0.613739  0.578905  0.591458  0.613735  
A-CFR_IN  1.07261  1.13774  1.2091  0.357706  1.12626  1.0325  1.20903  1.20913  1.15482  1.14104  1.20902  
BPS-CFR  0.745614  0.651708  1.3921  0.288351  0.653801  1.36747  0.842829  1.39444  0.630809  0.62412  1.22235  
TIPS-CFR  0.322664  0.659246  0.596093  0.194186  0.420198  0.613357  0.580735  0.613362  0.72596  0.72392  0.613355  
CSPS-CFR  0.566269  0.648323  0.717075  0.193252  0.556117  0.722774  0.737899  0.717061  0.605041  0.649577  0.71705  
CFPS-CFR  0.372696  0.622559  0.613564  0.193889  0.373352  0.61355  0.634344  0.613542  0.629402  0.636535  0.613537  
CFPS-CFR_EX+IN  0.729297  0.630357  0.958517  0.358235  0.631837  0.748973  0.571074  0.83594  0.623731  0.621157  0.574128  
TIPS-CFR_EX+IN  0.725129  0.620498  0.93133  0.279698  0.620023  0.805697  0.625584  0.821919  0.619602  0.618994  0.572218  
BEHAV-CFR  0.337787  0.629116  0.613372  0.193882  0.33739  0.613357  0.634105  0.613361  0.629015  0.629433  0.613354  
t = 4
CFR  0.926881  0.898379  0.194875  0.125191  0.789303  0.306656  0.344642  0.227424  0.961137  0.928351  0.436795  
CFR_EX+IN  0.932702  0.902511  0.0306625  0.201616  0.632672  0.00579065  0.264966  0.024174  0.699377  0.651044  0.601939  
CFR_IN  0.994312  0.869573  0.731035  0.20182  1.0166  0.770147  0.581484  0.667749  0.907171  0.886826  0.636293  
A-CFR_IN  1.23522  1.09718  1.18592  0.463848  1.09396  1.18486  1.19396  1.18581  0.578821  1.03319  1.18699  
BPS-CFR  0.902736  1.01622  0.133346  0.201316  0.782756  0.387025  0.339542  0.176763  0.82193  0.786462  0.418829  
TIPS-CFR  0.930029  1.05063  0.692606  0.202043  1.01857  0.73155  0.507195  0.769378  0.707567  0.681225  0.734944  
CSPS-CFR  1.00056  1.06285  0.61124  0.206298  1.02128  0.500425  0.827104  0.425549  1.07824  1.03834  0.621624  
CFPS-CFR  0.978178  0.906123  0.792203  0.200164  0.99741  0.690914  0.564214  0.728962  0.916484  0.853096  0.695528  
CFPS-CFR_EX+IN  0.789685  1.00293  0.0277005  0.511909  0.822758  0.649054  0.349347  0.0103911  0.801109  0.769289  0.60701  
TIPS-CFR_EX+IN  0.754287  0.963082  0.0418082  0.392516  0.814812  0.605648  0.212521  0.0974184  0.799793  0.772786  0.625897  
BEHAV-CFR  0.95455  0.613654  0.825095  0.199801  0.947808  0.726886  0.472886  0.763756  0.597228  0.577988  0.730288  
t = 5
CFR  0.918539  0.885636  0.522499  0.476158  0.947438  0.514557  0.881429  0.506867  0.436858  0.315874  0.381871  
CFR_EX+IN  0.898893  0.626868  0.787343  0.672115  0.574582  0.702227  0.897012  0.806543  0.677498  0.501747  0.441951  
CFR_IN  1.08608  0.674003  0.598497  0.457932  0.593176  0.662172  0.92491  0.854987  0.649777  0.641025  1.03817  
A-CFR_IN  0.374318  0.335102  0.418878  0.365164  0.31315  0.403597  0.452031  0.402307  -0.0623905  0.000100975  0.396205  
BPS-CFR  0.954806  0.641005  0.79939  0.643418  0.575613  0.427858  0.886728  0.77654  0.706874  0.54402  0.455862  
TIPS-CFR  1.08886  0.687087  0.524381  0.505841  1.12281  0.653835  1.07412  0.53567  0.990893  0.837956  0.649991  
CSPS-CFR  0.567203  0.375569  0.757482  0.489139  0.41826  0.27094  0.666491  0.485531  0.309537  0.234333  0.24306  
CFPS-CFR  1.09275  0.654551  0.397498  0.479648  0.613004  0.733425  1.01423  0.607067  0.503402  0.542145  0.72728  
CFPS-CFR_EX+IN  1.472  0.618898  0.793903  0.518618  0.676663  0.191604  0.869815  0.587182  0.703787  0.523777  0.361133  
TIPS-CFR_EX+IN  1.42106  0.670001  0.77476  0.544768  0.699596  0.465154  0.876699  0.495111  0.74047  0.669616  0.39297  
BEHAV-CFR  1.07907  0.843971  0.325121  0.509588  0.974143  0.654585  1.13593  0.538294  0.726052  0.645776  0.650742  
t = 6
CFR  0.714966  0.683301  0.918961  0.563396  0.481191  0.785165  0.434964  0.967152  0.395318  0.357746  0.568209  
CFR_EX+IN  0.728859  0.556769  0.654546  0.387834  0.897853  0.457017  0.968141  0.720649  0.5505  0.542103  0.240232  
CFR_IN  1.17811  0.65171  0.537122  0.480204  0.698248  0.517256  0.540043  0.531975  0.210417  0.104285  0.566878  
A-CFR_IN  0.477068  0.974006  0.66  0.263845  0.984509  0.66  0.66  0.66  0.252226  0.612553  0.66  
BPS-CFR  1.10258  0.619952  0.598062  0.233986  0.551475  0.718484  0.497866  0.596583  0.549635  0.509082  0.55655  
