learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
t = 0
CFR  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  
CFR_EX+IN  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  
CFR_IN  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  
A-CFR_IN  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  
BPS-CFR  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  
TIPS-CFR  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  
CSPS-CFR  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  
CFPS-CFR  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  
CFPS-CFR_EX+IN  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  
TIPS-CFR_EX+IN  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  
BEHAV-CFR  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  -2.31296e-18  
BR  0.496528  0.496528  0.496528  0.496528  0.496528  0.496528  0.496528  0.496528  0.496528  0.496528  0.496528  
t = 1
CFR  0  0.0121593  0.0810811  0.0810811  0  0.0810811  0.0810811  0.0810811  0.0121593  0.0121593  0.0810811  
CFR_EX+IN  -0.0117649  -5.2273e-16  0.0670391  0.0670391  -0.0117649  0.0670391  0.0670391  0.0670391  -5.2273e-16  -5.15791e-16  0.0670391  
CFR_IN  -0.0679328  -0.0580506  -2.66858e-16  -2.68593e-16  -0.0679328  -2.87097e-16  -1.62775e-16  -2.61654e-16  -0.0580506  -0.0580506  -2.87097e-16  
A-CFR_IN  -0.0679328  -0.0580506  -3.2873e-16  -3.30465e-16  -0.0679328  -3.48969e-16  -2.24647e-16  -3.23526e-16  -0.0580506  -0.0580506  -3.48969e-16  
BPS-CFR  0  0.0121593  0.0810811  0.0810811  0  0.0810811  0.0810811  0.0810811  0.0121593  0.0121593  0.0810811  
TIPS-CFR  -0.0679328  -0.0580506  -2.72062e-16  -2.73797e-16  -0.0679328  -2.92301e-16  -1.67979e-16  -2.66858e-16  -0.0580506  -0.0580506  -2.92301e-16  
