learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
t = 0
CFR  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
CFR_EX+IN  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
CFR_IN  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
A-CFR_IN  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
BPS-CFR  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
TIPS-CFR  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
CSPS-CFR  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
CFPS-CFR  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
CFPS-CFR_EX+IN  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
TIPS-CFR_EX+IN  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
BEHAV-CFR  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
BR  0.496528  0.496528  0.496528  0.496528  0.496528  0.496528  0.496528  0.496528  0.496528  0.496528  0.496528  
t = 1
CFR  -2.42861e-17  0.00978558  0.362222  0.362222  -1.21431e-17  0.362222  0.362222  0.362222  0.00978558  0.00978558  0.362222  
CFR_EX+IN  -0.0077521  -1.52e-16  0.338877  0.338877  -0.0077521  0.338877  0.338877  0.338877  -2.3758e-16  -2.20233e-16  0.338877  
CFR_IN  -0.0709352  -0.0890381  -1.74694e-15  -1.64604e-15  -0.0709352  -1.64604e-15  -1.72171e-15  -1.82876e-15  -0.0890381  -0.0890381  -1.75727e-15  
A-CFR_IN  -0.0709352  -0.0890381  -1.87538e-15  -1.77448e-15  -0.0709352  -1.77448e-15  -1.85015e-15  -1.9572e-15  -0.0890381  -0.0890381  -1.88572e-15  
BPS-CFR  -3.29597e-17  0.00978558  0.362222  0.362222  -3.00685e-17  0.362222  0.362222  0.362222  0.00978558  0.00978558  0.362222  
TIPS-CFR  -0.0709352  -0.0890381  -1.87538e-15  -1.77448e-15  -0.0709352  -1.77448e-15  -1.85015e-15  -1.9572e-15  -0.0890381  -0.0890381  -1.88572e-15  
CSPS-CFR  -0.0709352  -0.0890381  -1.52526e-15  -1.42435e-15  -0.0709352  -1.42435e-15  -1.50003e-15  -1.60708e-15  -0.0890381  -0.0890381  -1.53559e-15  
