learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
t = 0
CFR  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
CFR_EX+IN  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
CFR_IN  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
A-CFR_IN  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
BPS-CFR  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
TIPS-CFR  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
CSPS-CFR  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
CFPS-CFR  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
CFPS-CFR_EX+IN  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
TIPS-CFR_EX+IN  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
BEHAV-CFR  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  2.31296e-18  
t = 1
CFR  -2.42861e-17  0.00978558  0.362222  0.362222  -1.21431e-17  0.362222  0.249419  0.362222  0.00978558  0.00978558  0.362222  
CFR_EX+IN  -0.0077521  5.78241e-18  0.338877  0.338877  -0.0077521  0.338877  0.233345  0.338877  -8.09538e-17  1.50343e-17  0.338877  
CFR_IN  -0.0709352  -0.0890381  -1.84889e-32  1.00903e-16  -0.0709352  1.9082e-17  -2.70161e-16  -8.18211e-17  -0.0890381  -0.0890381  2.84061e-17  
A-CFR_IN  -0.0709352  -0.0890381  -1.00903e-16  3.08149e-32  -0.0709352  -8.18211e-17  -3.71064e-16  -1.82724e-16  -0.0890381  -0.0890381  -7.2497e-17  
BPS-CFR  -3.29597e-17  0.00978558  0.362222  0.362222  -3.00685e-17  0.362222  0.249419  0.362222  0.00978558  0.00978558  0.362222  
TIPS-CFR  -0.0709352  -0.0890381  -1.9082e-17  8.18211e-17  -0.0709352  8.32002e-32  -2.89243e-16  -1.00903e-16  -0.0890381  -0.0890381  9.32414e-18  
CSPS-CFR  -0.0267701  -0.0415944  3.14871e-16  4.15775e-16  -0.0267701  3.33953e-16  1.2326e-32  2.3305e-16  -0.0415944  -0.0415944  3.43278e-16  
CFPS-CFR  -0.0709352  -0.0890381  8.18211e-17  1.82724e-16  -0.0709352  1.00903e-16  -1.8834e-16  4.93038e-32  -0.0890381  -0.0890381  1.10227e-16  
