learner/env  CFR  CFR_EX+IN  A-CFR  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  IPS-CFR  PI  FP  
CFR  -3.4917e-17  -0.000283041  0.000573326  -0.000283041  0.000304105  0.00220072  0.000343032  0.000343032  -0.000900636  -0.000184634  
CFR_EX+IN  0.000951131  1.95124e-16  0.000568298  -0.000118396  0.000883648  0.000675046  0.00228009  0.00228008  0.000263942  -0.000272677  
A-CFR  -1.97092e-05  -9.95438e-05  -3.41552e-17  -9.95508e-05  0.000826653  0.00127883  0.00245362  0.00245362  -0.000854495  8.52479e-05  
CFR_IN  0.000951131  0.000875223  0.000568304  1.93497e-16  0.000883648  0.000675912  0.00228009  0.00228008  0.000271393  -0.000272677  
A-CFR_IN  -1.64774e-05  3.86661e-05  -7.62511e-05  3.86679e-05  2.03093e-16  -7.6729e-05  0.00015261  0.00015108  1.28527e-05  8.96463e-05  
BPS-CFR  0.00186979  -1.33949e-05  0.0022626  -1.52224e-05  0.000744377  1.76492e-16  0.00275483  0.00275483  0.000597318  -0.000401377  
TIPS-CFR  0.00200248  0.000282793  -0.000206825  0.000282793  0.00123017  0.000860551  1.67952e-16  0.000467681  0.000526708  0.00187065  
IPS-CFR  0.00200248  0.000282793  -0.000206825  0.000282793  0.00123023  0.000860551  0.000692822  1.67873e-16  0.000527623  0.00187065  
PI  0.00261476  0.00208674  0.00263796  0.00208862  0.00315417  0.00212474  0.00211035  0.00210934  2.42215e-17  0.0272194  
FP  0.000497751  0.000390524  0.00101721  0.000390524  0.00201985  0.000427401  8.70948e-05  8.70948e-05  0.0021401  -3.08264e-17  
