learner/env  CFR  A-CFR  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  IPS-CFR  PI  greed_punisher  FP  
t = 0
CFR  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  
A-CFR  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  
CFR_IN  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  
A-CFR_IN  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  
BPS-CFR  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  
TIPS-CFR  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  
IPS-CFR  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  
PI  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  
greed_punisher  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  
FP  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  2.77556e-17  
BR  0.86901  0.86901  0.86901  0.86901  0.86901  0.86901  0.86901  0.86901  0.86901  0.86901  
t = 1
CFR  -1.38778e-17  -1.38778e-17  7.97973e-16  7.97973e-16  7.97973e-16  7.97973e-16  7.97973e-16  -0.0875  -0.069401  -0.0875  
A-CFR  -1.38778e-17  -1.38778e-17  7.97973e-16  7.97973e-16  7.97973e-16  7.97973e-16  7.97973e-16  -0.0875  -0.069401  -0.0875  
CFR_IN  3.46945e-17  3.46945e-17  7.77156e-16  7.77156e-16  7.77156e-16  7.77156e-16  7.77156e-16  -0.0875  -0.069401  -0.0875  
A-CFR_IN  3.46945e-17  3.46945e-17  7.77156e-16  7.77156e-16  7.77156e-16  7.77156e-16  7.77156e-16  -0.0875  -0.069401  -0.0875  
BPS-CFR  3.46945e-17  3.46945e-17  8.60423e-16  8.60423e-16  8.60423e-16  8.60423e-16  8.60423e-16  -0.0875  -0.069401  -0.0875  
