learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
t = 0
CFR  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
CFR_EX+IN  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
CFR_IN  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
A-CFR_IN  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
BPS-CFR  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
TIPS-CFR  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
CSPS-CFR  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
CFPS-CFR  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
CFPS-CFR_EX+IN  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
TIPS-CFR_EX+IN  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
BEHAV-CFR  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
BR  0.708333  0.708333  0.708333  0.708333  0.708333  0.708333  0.708333  0.708333  0.708333  0.708333  0.708333  
t = 1
CFR  0  -0.00175119  -0.0361853  -0.0361853  0  -0.0361853  -0.0263817  -0.0361853  -0.00175119  -0.00175119  -0.0361853  
CFR_EX+IN  0.00175119  -1.21431e-17  -0.0347515  -0.0347515  0.00175119  -0.0347515  -0.0259646  -0.0347515  1.73472e-18  4.33681e-17  -0.0347515  
CFR_IN  0.0361853  0.0347515  -2.46519e-32  -2.46519e-32  0.0361853  -7.67977e-17  -6.67446e-17  -7.67254e-17  0.0347515  0.0347515  -5.79687e-17  
A-CFR_IN  0.0361853  0.0347515  2.46519e-32  2.46519e-32  0.0361853  -7.67977e-17  -6.67446e-17  -7.67254e-17  0.0347515  0.0347515  -5.79687e-17  
BPS-CFR  0  -0.00175119  -0.0361853  -0.0361853  0  -0.0361853  -0.0263817  -0.0361853  -0.00175119  -0.00175119  -0.0361853  
TIPS-CFR  0.0361853  0.0347515  7.67977e-17  7.67977e-17  0.0361853  0  1.0053e-17  7.22801e-20  0.0347515  0.0347515  1.8829e-17  
CSPS-CFR  0.0263817  0.0259646  6.67446e-17  6.67446e-17  0.0263817  -1.0053e-17  0  -9.98077e-18  0.0259646  0.0259646  8.77593e-18  
CFPS-CFR  0.0361853  0.0347515  7.67254e-17  7.67254e-17  0.0361853  -7.22801e-20  9.98077e-18  -2.46519e-32  0.0347515  0.0347515  1.87567e-17  
CFPS-CFR_EX+IN  0.00175119  -5.20417e-18  -0.0347515  -0.0347515  0.00175119  -0.0347515  -0.0259646  -0.0347515  1.04083e-17  2.25514e-17  -0.0347515  
TIPS-CFR_EX+IN  0.00175119  -5.0307e-17  -0.0347515  -0.0347515  0.00175119  -0.0347515  -0.0259646  -0.0347515  -2.60209e-17  -1.73472e-18  -0.0347515  
BEHAV-CFR  0.0361853  0.0347515  5.79687e-17  5.79687e-17  0.0361853  -1.8829e-17  -8.77593e-18  -1.87567e-17  0.0347515  0.0347515  0  
BR  0.615395  0.631158  0.875  0.875  0.615395  0.875  0.860752  0.875  0.631158  0.631158  0.875  
t = 2
CFR  0  -0.00428327  -0.0425069  0.0656595  -0.00055017  -0.0425034  -0.0502747  -0.0425137  -0.00453027  -0.00430641  -0.0429469  
CFR_EX+IN  0.00421017  0  -0.0462601  0.0657734  0.00365871  -0.0462493  -0.0537262  -0.0462593  -0.000247581  -2.65128e-05  -0.0466621  
CFR_IN  0.0317532  0.0314857  1.04083e-17  0.0289353  0.0312098  1.72692e-06  -0.0162857  -2.02993e-06  0.031276  0.0316288  -0.000839036  
A-CFR_IN  -0.134689  -0.135577  -0.0289353  0  -0.135593  -0.027555  -0.0226327  -0.0275886  -0.136053  -0.135907  -0.0257187  
BPS-CFR  0.00055017  -0.00375491  -0.0426845  0.0651718  0  -0.042681  -0.0503913  -0.0426913  -0.00400191  -0.00377811  -0.0431245  
TIPS-CFR  0.0311204  0.0307682  -1.72692e-06  0.028889  0.030577  3.46945e-18  -0.0162888  -3.75685e-06  0.0305577  0.0309105  -0.000840763  
CSPS-CFR  0.0397729  0.0392188  0.0178252  0.0301695  0.0392605  0.0178361  4.33681e-18  0.0178316  0.0390164  0.0393862  0.0169297  
CFPS-CFR  0.0311816  0.0308317  2.02993e-06  0.0289305  0.0306382  3.75685e-06  -0.0162828  1.73472e-18  0.0306221  0.0309749  -0.000837006  
CFPS-CFR_EX+IN  0.00448314  0.000247581  -0.0463787  0.0654443  0.00393168  -0.0463679  -0.053802  -0.0463778  -3.46945e-18  0.000221026  -0.0467807  
