learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
t = 0
CFR  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
CFR_EX+IN  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
CFR_IN  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
A-CFR_IN  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
BPS-CFR  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
TIPS-CFR  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
CSPS-CFR  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
CFPS-CFR  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
CFPS-CFR_EX+IN  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
TIPS-CFR_EX+IN  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
BEHAV-CFR  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  3.46945e-18  
t = 1
CFR  0  -0.00175119  -0.0361853  -0.0361853  0  -0.0361853  -0.0361853  -0.0361853  -0.00175119  -0.00175119  -0.0361853  
CFR_EX+IN  0.00175119  1.45717e-16  -0.0347515  -0.0347515  0.00175119  -0.0347515  -0.0347515  -0.0347515  1.80411e-16  1.71738e-16  -0.0347515  
CFR_IN  0.0361853  0.0347515  2.768e-16  2.39169e-16  0.0361853  2.2849e-16  1.49576e-16  1.88401e-16  0.0347515  0.0347515  2.30396e-16  
A-CFR_IN  0.0361853  0.0347515  4.44813e-16  4.07182e-16  0.0361853  3.96503e-16  3.1759e-16  3.56414e-16  0.0347515  0.0347515  3.98409e-16  
BPS-CFR  0  -0.00175119  -0.0361853  -0.0361853  0  -0.0361853  -0.0361853  -0.0361853  -0.00175119  -0.00175119  -0.0361853  
TIPS-CFR  0.0361853  0.0347515  3.28701e-16  2.91071e-16  0.0361853  2.80391e-16  2.01478e-16  2.40303e-16  0.0347515  0.0347515  2.82298e-16  
CSPS-CFR  0.0361853  0.0347515  4.7084e-16  4.3321e-16  0.0361853  4.2253e-16  3.43617e-16  3.82442e-16  0.0347515  0.0347515  4.24437e-16  
CFPS-CFR  0.0361853  0.0347515  3.58747e-16  3.21117e-16  0.0361853  3.10437e-16  2.31524e-16  2.70349e-16  0.0347515  0.0347515  3.12344e-16  
CFPS-CFR_EX+IN  0.00175119  1.19696e-16  -0.0347515  -0.0347515  0.00175119  -0.0347515  -0.0347515  -0.0347515  1.52656e-16  1.47451e-16  -0.0347515  
TIPS-CFR_EX+IN  0.00175119  1.45717e-16  -0.0347515  -0.0347515  0.00175119  -0.0347515  -0.0347515  -0.0347515  1.63064e-16  1.5439e-16  -0.0347515  
BEHAV-CFR  0.0361853  0.0347515  3.32456e-16  2.94825e-16  0.0361853  2.84145e-16  2.05232e-16  2.44057e-16  0.0347515  0.0347515  2.86052e-16  
t = 2
CFR  0  -0.00751628  -0.0686236  0.136049  -0.00055017  -0.0354806  -0.0525207  -0.0681037  -0.00779377  -0.00575085  -0.0354806  
CFR_EX+IN  0.00751628  1.76942e-16  -0.0765389  0.128029  0.00699263  -0.0415988  -0.0562888  -0.0758696  -0.000247581  0.00210859  -0.0415988  
CFR_IN  0.0688692  0.0765389  0.000885004  0.0289561  0.069084  0.00150922  -0.0160657  0.000492807  0.0766806  0.0777188  0.00150922  
A-CFR_IN  -0.136049  -0.128016  -0.0292522  4.18654e-05  -0.135988  -0.0256979  -0.0261494  -0.0284038  -0.127969  -0.105405  -0.0256979  
BPS-CFR  0.00055017  -0.00699263  -0.0688385  0.135988  0  -0.0356992  -0.0527504  -0.0683186  -0.00727012  -0.00522762  -0.0356992  
TIPS-CFR  0.0354806  0.0415988  -3.96291e-05  0.0257398  0.0356992  -9.19403e-17  -0.0176714  -0.000652554  0.0417461  0.0428126  -4.59702e-16  
CSPS-CFR  0.0525207  0.0562888  0.0170477  0.0261923  0.0527504  0.0176714  1.82146e-17  0.0164635  0.0564402  0.0575633  0.0176714  
CFPS-CFR  0.068257  0.0758696  0.000792192  0.0282737  0.0684718  0.00144537  -0.0161636  0.000399995  0.0760113  0.0770494  0.00144537  
CFPS-CFR_EX+IN  0.00779377  0.000247581  -0.0766806  0.127978  0.00727012  -0.0417461  -0.0564402  -0.0760113  7.63278e-17  0.00235582  -0.0417461  
TIPS-CFR_EX+IN  0.00575085  -0.00210859  -0.0777188  0.105414  0.00522762  -0.0428126  -0.0575633  -0.0770494  -0.00235582  9.71445e-17  -0.0428126  
