learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
t = 0
CFR  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
CFR_EX+IN  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
CFR_IN  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
A-CFR_IN  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
BPS-CFR  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
TIPS-CFR  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
CSPS-CFR  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
CFPS-CFR  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
CFPS-CFR_EX+IN  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
TIPS-CFR_EX+IN  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
BEHAV-CFR  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
BR  1.96875  1.96875  1.96875  1.96875  1.96875  1.96875  1.96875  1.96875  1.96875  1.96875  1.96875  
t = 1
CFR  0  0  1.33227e-15  1.77636e-15  0  1.33227e-15  2.66454e-15  1.77636e-15  0  0  1.33227e-15  
CFR_EX+IN  -4.44089e-16  0  1.33227e-15  1.33227e-15  -4.44089e-16  1.33227e-15  2.22045e-15  1.33227e-15  0  0  1.33227e-15  
CFR_IN  -1.33227e-15  -8.88178e-16  0  0  -1.33227e-15  0  1.33227e-15  4.44089e-16  -8.88178e-16  -8.88178e-16  0  
A-CFR_IN  -1.77636e-15  -1.77636e-15  -4.44089e-16  0  -1.77636e-15  -4.44089e-16  8.88178e-16  0  -1.77636e-15  -1.77636e-15  -4.44089e-16  
BPS-CFR  0  0  1.33227e-15  1.77636e-15  0  1.33227e-15  2.66454e-15  1.77636e-15  0  0  1.33227e-15  
TIPS-CFR  -1.33227e-15  -8.88178e-16  0  0  -1.33227e-15  0  1.33227e-15  4.44089e-16  -8.88178e-16  -8.88178e-16  0  
CSPS-CFR  -2.66454e-15  -2.66454e-15  -1.33227e-15  -8.88178e-16  -2.66454e-15  -1.33227e-15  0  -8.88178e-16  -2.66454e-15  -2.66454e-15  -1.33227e-15  
CFPS-CFR  -1.77636e-15  -1.77636e-15  -4.44089e-16  0  -1.77636e-15  -4.44089e-16  8.88178e-16  0  -1.77636e-15  -1.77636e-15  -4.44089e-16  
CFPS-CFR_EX+IN  -4.44089e-16  0  1.33227e-15  1.33227e-15  -4.44089e-16  1.33227e-15  2.22045e-15  1.33227e-15  0  0  1.33227e-15  
TIPS-CFR_EX+IN  -4.44089e-16  0  1.33227e-15  1.33227e-15  -4.44089e-16  1.33227e-15  2.22045e-15  1.33227e-15  0  0  1.33227e-15  
BEHAV-CFR  -1.77636e-15  -1.77636e-15  -4.44089e-16  0  -1.77636e-15  -4.44089e-16  8.88178e-16  0  -1.77636e-15  -1.77636e-15  -4.44089e-16  
BR  1.625  1.61111  1.5  1.5  1.625  1.5  1.625  1.5  1.61111  1.61111  1.5  
t = 2
CFR  0  -0.00914559  0.339844  0.339844  0  0.339844  -5.43258e-07  0.339844  -0.00914559  -0.00914559  0.339844  
CFR_EX+IN  0.0104167  1.66533e-16  0.302083  0.302083  0.0104167  0.302083  0.0104161  0.302083  0  1.11022e-16  0.302083  
CFR_IN  0.09375  0.0731647  0  -1.11022e-16  0.09375  5.55112e-17  0.0937489  -3.88578e-16  0.0731647  0.0731647  -1.94289e-15  
A-CFR_IN  0.09375  0.0731647  1.66533e-16  5.55112e-17  0.09375  1.66533e-16  0.0937489  -2.77556e-16  0.0731647  0.0731647  -1.83187e-15  
BPS-CFR  0  -0.00914559  0.339844  0.339844  0  0.339844  -5.43258e-07  0.339844  -0.00914559  -0.00914559  0.339844  
TIPS-CFR  0.09375  0.0731647  0  -1.11022e-16  0.09375  5.55112e-17  0.0937489  -3.88578e-16  0.0731647  0.0731647  -1.94289e-15  
CSPS-CFR  5.43261e-07  -0.00914511  0.339842  0.339842  5.43261e-07  0.339842  5.55112e-17  0.339842  -0.00914511  -0.00914511  0.339842  
CFPS-CFR  0.09375  0.0731647  4.44089e-16  2.77556e-16  0.09375  4.44089e-16  0.0937489  5.55112e-17  0.0731647  0.0731647  -1.55431e-15  
CFPS-CFR_EX+IN  0.0104167  3.05311e-16  0.302083  0.302083  0.0104167  0.302083  0.0104161  0.302083  1.38778e-16  2.498e-16  0.302083  
TIPS-CFR_EX+IN  0.0104167  1.66533e-16  0.302083  0.302083  0.0104167  0.302083  0.0104161  0.302083  0  1.38778e-16  0.302083  
BEHAV-CFR  0.09375  0.0731647  1.9984e-15  1.88738e-15  0.09375  2.05391e-15  0.0937489  1.60982e-15  0.0731647  0.0731647  5.55112e-17  
BR  1.625  1.61111  1.5  1.5  1.625  1.5  1.625  1.5  1.61111  1.61111  1.5  
t = 3
CFR  0  -0.0373322  0.0175357  -0.0149829  -0.108187  -0.000862036  -0.117708  0.000522833  -0.148739  -0.158482  -0.0149829  
CFR_EX+IN  0.0395934  0  -0.00204765  -0.0345662  -0.0685939  -0.0204454  -0.0781147  -0.0190605  -0.111406  -0.12115  -0.0345662  
CFR_IN  -0.6348  -0.678088  0  -0.0325186  -0.742987  -0.0183977  -0.752508  -0.0170129  -0.789495  -0.799238  -0.0325186  
A-CFR_IN  -0.607196  -0.650629  0.0325186  0  -0.715384  0.0141209  -0.724905  0.0155057  -0.762036  -0.77178  7.99361e-15  
BPS-CFR  0.108187  0.072288  0.030549  -0.00196963  0  0.0121512  -0.0095206  0.0135361  -0.0391185  -0.048862  -0.00196963  
TIPS-CFR  -0.619251  -0.662622  0.0183977  -0.0141209  -0.727439  0  -0.73696  0.00138487  -0.774029  -0.783772  -0.0141209  
CSPS-CFR  0.117708  0.0819399  0.0316337  -0.000884859  0.0095206  0.013236  0  0.0146209  -0.0294666  -0.0392101  -0.000884859  
CFPS-CFR  -0.620428  -0.663793  0.0170129  -0.0155057  -0.728615  -0.00138487  -0.738136  0  -0.775199  -0.784943  -0.0155057  
CFPS-CFR_EX+IN  0.150341  0.111406  0.0180137  -0.0145049  0.0421532  -0.000384029  0.0326325  0.00100084  4.44089e-16  -0.00974357  -0.0145049  
TIPS-CFR_EX+IN  0.160023  0.12115  0.0197108  -0.0128078  0.0518355  0.00131303  0.0423147  0.0026979  0.00974357  4.44089e-16  -0.0128078  
BEHAV-CFR  -0.607196  -0.650629  0.0325186  -9.32587e-15  -0.715384  0.0141209  -0.724905  0.0155057  -0.762036  -0.77178  0  
BR  2.23214  2.2797  2.07995  2.09513  2.30427  2.08854  2.31062  2.08789  2.34844  2.35439  2.09513  
t = 4
CFR  0  0  -0.227546  -0.228432  0  -0.228062  -2.22045e-16  -0.228024  -2.22045e-16  -4.44089e-16  -0.228432  
CFR_EX+IN  4.44089e-16  2.22045e-16  -0.222837  -0.223705  4.44089e-16  -0.223342  4.44089e-16  -0.223306  0  -2.22045e-16  -0.223705  
CFR_IN  0  0  1.11022e-16  1.11022e-16  0  0  0  2.55351e-15  0  -4.44089e-16  3.10862e-15  
