learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
t = 0
CFR  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
CFR_EX+IN  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
CFR_IN  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
A-CFR_IN  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
BPS-CFR  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
TIPS-CFR  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
CSPS-CFR  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
CFPS-CFR  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
CFPS-CFR_EX+IN  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
TIPS-CFR_EX+IN  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
BEHAV-CFR  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  0.375  
t = 1
CFR  0  0  1.33227e-15  1.77636e-15  0  1.33227e-15  2.66454e-15  1.77636e-15  0  0  1.33227e-15  
CFR_EX+IN  -4.44089e-16  0  1.33227e-15  1.33227e-15  -4.44089e-16  1.33227e-15  2.22045e-15  1.33227e-15  0  0  1.33227e-15  
CFR_IN  -1.33227e-15  -8.88178e-16  0  0  -1.33227e-15  0  1.33227e-15  4.44089e-16  -8.88178e-16  -8.88178e-16  0  
A-CFR_IN  -1.77636e-15  -1.77636e-15  -4.44089e-16  0  -1.77636e-15  -4.44089e-16  8.88178e-16  0  -1.77636e-15  -1.77636e-15  -4.44089e-16  
BPS-CFR  0  0  1.33227e-15  1.77636e-15  0  1.33227e-15  2.66454e-15  1.77636e-15  0  0  1.33227e-15  
TIPS-CFR  -1.33227e-15  -8.88178e-16  0  0  -1.33227e-15  0  1.33227e-15  4.44089e-16  -8.88178e-16  -8.88178e-16  0  
CSPS-CFR  -2.66454e-15  -2.66454e-15  -1.33227e-15  -8.88178e-16  -2.66454e-15  -1.33227e-15  0  -8.88178e-16  -2.66454e-15  -2.66454e-15  -1.33227e-15  
CFPS-CFR  -1.77636e-15  -1.77636e-15  -4.44089e-16  0  -1.77636e-15  -4.44089e-16  8.88178e-16  0  -1.77636e-15  -1.77636e-15  -4.44089e-16  
CFPS-CFR_EX+IN  -4.44089e-16  0  1.33227e-15  1.33227e-15  -4.44089e-16  1.33227e-15  2.22045e-15  1.33227e-15  0  0  1.33227e-15  
TIPS-CFR_EX+IN  -4.44089e-16  0  1.33227e-15  1.33227e-15  -4.44089e-16  1.33227e-15  2.22045e-15  1.33227e-15  0  0  1.33227e-15  
BEHAV-CFR  -1.77636e-15  -1.77636e-15  -4.44089e-16  0  -1.77636e-15  -4.44089e-16  8.88178e-16  0  -1.77636e-15  -1.77636e-15  -4.44089e-16  
t = 2
CFR  0  -0.0138889  -0.046875  -0.046875  0  -0.046875  -7.24348e-07  -0.046875  -0.0138889  -0.0138889  -0.046875  
CFR_EX+IN  0.0138889  1.66533e-16  -0.0329861  -0.0329861  0.0138889  -0.0329861  0.0138882  -0.0329861  0  1.11022e-16  -0.0329861  
CFR_IN  0.046875  0.0329861  0  -1.11022e-16  0.046875  5.55112e-17  0.0468743  -3.88578e-16  0.0329861  0.0329861  -1.94289e-15  
A-CFR_IN  0.046875  0.0329861  1.66533e-16  5.55112e-17  0.046875  1.66533e-16  0.0468743  -2.77556e-16  0.0329861  0.0329861  -1.83187e-15  
BPS-CFR  0  -0.0138889  -0.046875  -0.046875  0  -0.046875  -7.24348e-07  -0.046875  -0.0138889  -0.0138889  -0.046875  
TIPS-CFR  0.046875  0.0329861  0  -1.11022e-16  0.046875  5.55112e-17  0.0468743  -3.88578e-16  0.0329861  0.0329861  -1.94289e-15  
CSPS-CFR  7.24348e-07  -0.0138882  -0.0468743  -0.0468743  7.24348e-07  -0.0468743  5.55112e-17  -0.0468743  -0.0138882  -0.0138882  -0.0468743  
CFPS-CFR  0.046875  0.0329861  4.44089e-16  2.77556e-16  0.046875  4.44089e-16  0.0468743  5.55112e-17  0.0329861  0.0329861  -1.4988e-15  
CFPS-CFR_EX+IN  0.0138889  3.05311e-16  -0.0329861  -0.0329861  0.0138889  -0.0329861  0.0138882  -0.0329861  1.38778e-16  2.498e-16  -0.0329861  
TIPS-CFR_EX+IN  0.0138889  1.66533e-16  -0.0329861  -0.0329861  0.0138889  -0.0329861  0.0138882  -0.0329861  0  1.38778e-16  -0.0329861  
BEHAV-CFR  0.046875  0.0329861  1.9984e-15  1.83187e-15  0.046875  1.9984e-15  0.0468743  1.60982e-15  0.0329861  0.0329861  5.55112e-17  
t = 3
CFR  0  -0.043479  -0.358826  -0.391345  -0.108187  -0.377224  -0.117708  -0.375839  -0.154885  -0.164629  -0.391345  
CFR_EX+IN  0.043479  0  -0.315347  -0.347866  -0.0647083  -0.333745  -0.0742293  -0.33236  -0.111406  -0.12115  -0.347866  
CFR_IN  0.358826  0.315347  0  -0.0325186  0.250639  -0.0183977  0.241118  -0.0170129  0.203941  0.194197  -0.0325186  
A-CFR_IN  0.391345  0.347866  0.0325186  0  0.283158  0.0141209  0.273637  0.0155057  0.236459  0.226716  8.88178e-15  
BPS-CFR  0.108187  0.0647083  -0.250639  -0.283158  0  -0.269037  -0.00952097  -0.267652  -0.0466982  -0.0564417  -0.283158  
TIPS-CFR  0.377224  0.333745  0.0183977  -0.0141209  0.269037  0  0.259516  0.00138487  0.222339  0.212595  -0.0141209  
CSPS-CFR  0.117708  0.0742293  -0.241118  -0.273637  0.00952097  -0.259516  0  -0.258131  -0.0371772  -0.0469208  -0.273637  
CFPS-CFR  0.375839  0.33236  0.0170129  -0.0155057  0.267652  -0.00138487  0.258131  0  0.220954  0.21121  -0.0155057  
CFPS-CFR_EX+IN  0.154885  0.111406  -0.203941  -0.236459  0.0466982  -0.222339  0.0371772  -0.220954  4.44089e-16  -0.00974357  -0.236459  
TIPS-CFR_EX+IN  0.164629  0.12115  -0.194197  -0.226716  0.0564417  -0.212595  0.0469208  -0.21121  0.00974357  4.44089e-16  -0.226716  
BEHAV-CFR  0.391345  0.347866  0.0325186  -9.32587e-15  0.283158  0.0141209  0.273637  0.0155057  0.236459  0.226716  0  
t = 4
CFR  0  0.0010112  -0.578458  -0.576827  0.00191385  -0.577529  0.00206598  -0.577598  0.00275388  0.0028917  -0.576827  
CFR_EX+IN  -0.0010112  2.22045e-16  -0.57947  -0.577838  0.000902649  -0.57854  0.00105478  -0.57861  0.00174267  0.0018805  -0.577838  
CFR_IN  0.578458  0.57947  1.11022e-16  0.00163119  0.580372  0.000929461  0.580524  0.0008601  0.581212  0.58135  0.00163119  
A-CFR_IN  0.576827  0.577838  -0.00163119  0  0.578741  -0.000701731  0.578893  -0.000771092  0.579581  0.579719  4.44089e-15  
BPS-CFR  -0.00191385  -0.000902649  -0.580372  -0.578741  0  -0.579443  0.000152129  -0.579512  0.000840025  0.000977851  -0.578741  
TIPS-CFR  0.577529  0.57854  -0.000929461  0.000701731  0.579443  2.22045e-16  0.579595  -6.93612e-05  0.580283  0.580421  0.000701731  
