learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
t = 0
CFR  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
CFR_EX+IN  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
CFR_IN  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
A-CFR_IN  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
BPS-CFR  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
TIPS-CFR  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
CSPS-CFR  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
CFPS-CFR  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
CFPS-CFR_EX+IN  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
TIPS-CFR_EX+IN  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
BEHAV-CFR  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
BR  -1.93774  -1.93774  -1.93774  -1.93774  -1.93774  -1.93774  -1.93774  -1.93774  -1.93774  -1.93774  -1.93774  
t = 1
CFR  11.1822  11.2697  13.394  13.394  11.1822  13.394  13.3954  13.394  11.2697  11.2697  13.394  
CFR_EX+IN  11.2697  11.357  13.4815  13.4815  11.2697  13.4815  13.4835  13.4815  11.357  11.357  13.4815  
CFR_IN  13.394  13.4815  15.6667  15.6667  13.394  15.6667  15.6721  15.6667  13.4815  13.4815  15.6667  
A-CFR_IN  13.394  13.4815  15.6667  15.6667  13.394  15.6667  15.6721  15.6667  13.4815  13.4815  15.6667  
BPS-CFR  11.1822  11.2697  13.394  13.394  11.1822  13.394  13.3954  13.394  11.2697  11.2697  13.394  
TIPS-CFR  13.394  13.4815  15.6667  15.6667  13.394  15.6667  15.6721  15.6667  13.4815  13.4815  15.6667  
CSPS-CFR  13.3954  13.4835  15.6721  15.6721  13.3954  15.6721  15.6775  15.6721  13.4835  13.4835  15.6721  
CFPS-CFR  13.394  13.4815  15.6667  15.6667  13.394  15.6667  15.6721  15.6667  13.4815  13.4815  15.6667  
CFPS-CFR_EX+IN  11.2697  11.357  13.4815  13.4815  11.2697  13.4815  13.4835  13.4815  11.357  11.357  13.4815  
TIPS-CFR_EX+IN  11.2697  11.357  13.4815  13.4815  11.2697  13.4815  13.4835  13.4815  11.357  11.357  13.4815  
BEHAV-CFR  13.394  13.4815  15.6667  15.6667  13.394  15.6667  15.6721  15.6667  13.4815  13.4815  15.6667  
BR  15.3104  15.3966  18.1766  18.1766  15.3104  18.1766  18.0444  18.1766  15.3966  15.3966  18.1766  
t = 2
CFR  17.5415  17.6662  17.1727  17.3725  17.5659  17.1702  17.2882  17.1702  17.6941  17.6968  17.1677  
CFR_EX+IN  17.673  17.7975  17.354  17.5569  17.6982  17.3502  17.4331  17.3502  17.8268  17.8294  17.3464  
CFR_IN  18.2302  18.3665  18.3814  18.5637  18.257  18.3777  18.2875  18.3777  18.3984  18.4007  18.3739  
A-CFR_IN  18.2395  18.3882  18.5637  18.763  18.269  18.5642  18.4449  18.5642  18.4243  18.4277  18.5647  
BPS-CFR  17.5659  17.6903  17.1706  17.3729  17.5902  17.168  17.2864  17.168  17.7182  17.7209  17.1655  
TIPS-CFR  18.3052  18.444  18.3777  18.5642  18.332  18.3739  18.2841  18.3739  18.4759  18.4781  18.3701  
CSPS-CFR  18.2382  18.3729  18.2462  18.4635  18.2648  18.2425  18.2816  18.2425  18.4046  18.4068  18.2387  
CFPS-CFR  18.3049  18.4435  18.3777  18.5642  18.3317  18.3739  18.2842  18.3739  18.4755  18.4777  18.3701  
CFPS-CFR_EX+IN  17.7027  17.8268  17.3521  17.5572  17.7279  17.3483  17.4316  17.3483  17.8562  17.8588  17.3446  
TIPS-CFR_EX+IN  17.7054  17.8294  17.3527  17.5578  17.7306  17.3489  17.4322  17.3489  17.8588  17.8614  17.3451  
BEHAV-CFR  18.3406  18.4856  18.3739  18.5647  18.3673  18.3701  18.2794  18.3701  18.5175  18.5195  18.3664  
BR  18.826  18.9957  19.9766  19.983  18.842  19.986  19.7844  19.986  19.011  19.0134  19.9954  
t = 3
CFR  19.3083  19.3868  19.8092  19.9079  19.3357  19.815  19.6412  19.8134  19.4177  19.4192  19.816  
