learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
t = 0
CFR  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
CFR_EX+IN  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
CFR_IN  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
A-CFR_IN  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
BPS-CFR  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
TIPS-CFR  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
CSPS-CFR  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
CFPS-CFR  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
CFPS-CFR_EX+IN  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
TIPS-CFR_EX+IN  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
BEHAV-CFR  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  -12.3294  
t = 1
CFR  11.1822  11.2697  13.394  13.394  11.1822  13.394  13.394  13.394  11.2697  11.2697  13.394  
CFR_EX+IN  11.2697  11.357  13.4815  13.4815  11.2697  13.4815  13.4815  13.4815  11.357  11.357  13.4815  
CFR_IN  13.394  13.4815  15.6667  15.6667  13.394  15.6667  15.6667  15.6667  13.4815  13.4815  15.6667  
A-CFR_IN  13.394  13.4815  15.6667  15.6667  13.394  15.6667  15.6667  15.6667  13.4815  13.4815  15.6667  
BPS-CFR  11.1822  11.2697  13.394  13.394  11.1822  13.394  13.394  13.394  11.2697  11.2697  13.394  
TIPS-CFR  13.394  13.4815  15.6667  15.6667  13.394  15.6667  15.6667  15.6667  13.4815  13.4815  15.6667  
CSPS-CFR  13.394  13.4815  15.6667  15.6667  13.394  15.6667  15.6667  15.6667  13.4815  13.4815  15.6667  
CFPS-CFR  13.394  13.4815  15.6667  15.6667  13.394  15.6667  15.6667  15.6667  13.4815  13.4815  15.6667  
CFPS-CFR_EX+IN  11.2697  11.357  13.4815  13.4815  11.2697  13.4815  13.4815  13.4815  11.357  11.357  13.4815  
TIPS-CFR_EX+IN  11.2697  11.357  13.4815  13.4815  11.2697  13.4815  13.4815  13.4815  11.357  11.357  13.4815  
BEHAV-CFR  13.394  13.4815  15.6667  15.6667  13.394  15.6667  15.6667  15.6667  13.4815  13.4815  15.6667  
t = 2
CFR  17.5415  17.6694  17.9974  18.0128  17.5659  18.0957  18.0932  18.0621  17.6994  17.792  18.0957  
CFR_EX+IN  17.6694  17.7975  18.1236  18.1463  17.6931  18.2315  18.2292  18.1886  17.8268  17.9212  18.2315  
CFR_IN  17.9974  18.1236  18.3814  18.5637  18.003  18.3739  18.3775  18.3777  18.1283  18.1447  18.3739  
A-CFR_IN  18.0128  18.1463  18.5637  18.763  18.0184  18.5647  18.5682  18.5642  18.1512  18.1676  18.5647  
BPS-CFR  17.5659  17.6931  18.003  18.0184  17.5902  18.1014  18.0988  18.0677  17.7232  17.8158  18.1014  
TIPS-CFR  18.0957  18.2315  18.3739  18.5647  18.1014  18.3664  18.3699  18.3701  18.2362  18.2527  18.3664  
CSPS-CFR  18.0932  18.2292  18.3775  18.5682  18.0988  18.3699  18.3732  18.3737  18.2339  18.2503  18.3699  
CFPS-CFR  18.0621  18.1886  18.3777  18.5642  18.0677  18.3701  18.3737  18.3739  18.1933  18.2097  18.3701  
CFPS-CFR_EX+IN  17.6994  17.8268  18.1283  18.1512  17.7232  18.2362  18.2339  18.1933  17.8562  17.9506  18.2362  
TIPS-CFR_EX+IN  17.792  17.9212  18.1447  18.1676  17.8158  18.2527  18.2503  18.2097  17.9506  18.0447  18.2527  
BEHAV-CFR  18.0957  18.2315  18.3739  18.5647  18.1014  18.3664  18.3699  18.3701  18.2362  18.2527  18.3664  
t = 3
CFR  19.3083  19.3767  19.5083  19.6385  19.3317  19.6354  19.6256  19.5838  19.3978  19.4448  19.6354  
CFR_EX+IN  19.3767  19.4464  19.6131  19.7253  19.4029  19.7236  19.7186  19.68  19.4713  19.5305  19.7236  
CFR_IN  19.5083  19.6131  20.1059  20.1185  19.538  20.1202  20.1282  20.1103  19.6319  19.6549  20.1202  
A-CFR_IN  19.6385  19.7253  20.1185  20.1858  19.6636  20.1245  20.1279  20.1219  19.7449  19.7684  20.1245  
