learner/env  CFR  CFR_EX+IN  CFR_IN  A-CFR_IN  BPS-CFR  TIPS-CFR  CSPS-CFR  CFPS-CFR  CFPS-CFR_EX+IN  TIPS-CFR_EX+IN  BEHAV-CFR  
t = 0
CFR  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  
CFR_EX+IN  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  
CFR_IN  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  
A-CFR_IN  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  
BPS-CFR  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  
TIPS-CFR  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  
CSPS-CFR  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  
CFPS-CFR  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  
CFPS-CFR_EX+IN  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  
TIPS-CFR_EX+IN  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  
BEHAV-CFR  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  3.72222  
t = 1
CFR  8  8  8  8  8  8  8  8  8  8  8  
CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
CFR_IN  8  8  8  8  8  8  8  8  8  8  8  
A-CFR_IN  8  8  8  8  8  8  8  8  8  8  8  
BPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
TIPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CSPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CFPS-CFR  8  8  8  8  8  8  8  8  8  8  8  
CFPS-CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
TIPS-CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
BEHAV-CFR  8  8  8  8  8  8  8  8  8  8  8  
t = 2
CFR  8  8  8  8  8  8  8  8  8  8  8  
CFR_EX+IN  8  8  8  8  8  8  8  8  8  8  8  
CFR_IN  8  8  8  8  8  8  8  8  8  8  8  
A-CFR_IN  8  8  8  8  8  8  8  8  8  8  8  
