learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  20.2038  20.2993  20.2094  20.3017  16.964  15.112  20.198  20.1943  20.1915  20.1914  
CFR+  20.2118  20.307  20.2175  20.3094  16.9745  14.3733  20.1983  20.1947  20.1918  20.1916  
A-CFR  20.2057  20.3012  20.2115  20.3042  16.9667  15.0873  20.1886  20.1842  20.1922  20.1912  
A-CFR+  20.2132  20.3084  20.219  20.3113  16.977  14.5277  20.1988  20.1946  20.1926  20.1918  
PGPI(10000/U)  19.8211  19.8673  19.8194  19.8665  16.4346  13.3533  19.8841  19.8647  19.8657  19.8635  
PI  20.2353  20.3302  20.2403  20.3328  16.9886  2.87481  20.224  20.2201  20.2079  20.2079  
CFR_IN  20.2395  20.3356  20.2459  20.3387  16.986  15.0586  20.242  20.2394  20.2359  20.2358  
CFR+_IN  20.2483  20.3445  20.2553  20.3476  16.9981  14.1404  20.2415  20.2388  20.2352  20.2356  
A-CFR_IN  20.2402  20.3363  20.2465  20.3394  16.986  15.0751  20.2343  20.2304  20.2273  20.2274  
A-CFR+_IN  20.2488  20.3444  20.2552  20.3475  16.9986  14.3317  20.2348  20.2307  20.228  20.2281  
BR  20.384  20.4782  20.3885  20.4808  17.128  18.692  20.3923  20.3907  20.3874  20.3884  
