learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  20.2038  20.1057  20.0152  20.1093  16.8343  14.9906  20.0221  20.024  20.0195  20.0212  
CFR+  20.0013  20.307  20.0076  20.1009  16.8231  14.4357  20.008  20.0084  20.0045  20.0066  
A-CFR  20.0099  20.1058  20.2115  20.1095  16.8346  14.9693  20.0241  20.0239  20.0202  20.0223  
A-CFR+  19.9976  20.0941  20.004  20.3113  16.8211  14.4584  20.0086  20.0058  20.0038  20.0061  
PGPI(10000/U)  20.0149  20.1101  20.0166  20.1096  16.4346  12.9077  19.998  19.9908  19.9933  19.9947  
PI  19.8882  20.0864  19.8938  20.09  16.8135  2.87481  19.9697  19.9806  19.9872  19.9974  
CFR_IN  20.0762  20.1719  20.0807  20.1745  16.8848  14.9671  20.242  20.0905  20.0876  20.0886  
CFR+_IN  20.0414  20.142  20.0478  20.1454  16.8482  14.2955  20.0575  20.2388  20.0524  20.0547  
A-CFR_IN  20.0763  20.1719  20.0807  20.1746  16.8848  14.8301  20.0905  20.0908  20.2273  20.0876  
A-CFR+_IN  20.037  20.1371  20.0422  20.1402  16.8453  14.3566  20.0504  20.0428  20.0424  20.2281  
BR  20.384  20.4782  20.3885  20.4808  17.128  18.692  20.3923  20.3907  20.3874  20.3884  
