learner/env  CFR  CFR+  A-CFR  A-CFR+  PGPI(10000/U)  PI  CFR_IN  CFR+_IN  A-CFR_IN  A-CFR+_IN  
CFR  20.7325  20.2552  20.2076  20.2574  19.2978  20.1512  20.2283  20.262  20.2228  20.2711  
CFR+  20.2552  20.7869  20.2584  20.3092  19.4128  20.0648  20.2096  20.2615  20.2217  20.27  
A-CFR  20.2076  20.2584  20.7345  20.2606  19.3019  20.1478  20.2291  20.2628  20.2241  20.2725  
A-CFR+  20.2574  20.3092  20.2606  20.7872  19.4157  20.062  20.2103  20.2622  20.2228  20.2711  
PGPI(10000/U)  19.2978  19.4128  19.3019  19.4157  16.9765  18.5083  18.6767  18.6374  18.6383  18.648  
PI  20.1512  20.0648  20.1478  20.062  18.5083  3.00496  20.199  20.0166  20.0975  19.9056  
CFR_IN  20.2283  20.2096  20.2291  20.2103  18.6767  20.199  20.6514  20.2101  20.2355  20.2361  
CFR+_IN  20.262  20.2615  20.2628  20.2622  18.6374  20.0166  20.2101  20.6502  20.2025  20.2336  
A-CFR_IN  20.2228  20.2217  20.2241  20.2228  18.6383  20.0975  20.2355  20.2025  20.6357  20.2274  
A-CFR+_IN  20.2711  20.27  20.2725  20.2711  18.648  19.9056  20.2361  20.2336  20.2274  20.6359  
